country,type,date,demand
AT,power,2018-12-31,2565600.0
AT,power,2019-01-01,25762200.0
AT,power,2019-01-02,81639200.0
AT,power,2019-01-03,101912200.0
AT,power,2019-01-04,106700200.0
AT,power,2019-01-05,52076600.0
AT,power,2019-01-06,55105400.0
AT,power,2019-01-07,115512400.0
AT,power,2019-01-08,103444200.0
AT,power,2019-01-09,109651800.0
AT,power,2019-01-10,113354400.0
AT,power,2019-01-11,124246200.0
AT,power,2019-01-12,79624200.0
AT,power,2019-01-13,50012400.0
AT,power,2019-01-14,75515200.0
AT,power,2019-01-15,91235600.0
AT,power,2019-01-16,132270800.0
AT,power,2019-01-17,125614400.0
AT,power,2019-01-18,93451600.0
AT,power,2019-01-19,104379000.0
AT,power,2019-01-20,108984800.0
AT,power,2019-01-21,117881800.0
AT,power,2019-01-22,123459400.0
AT,power,2019-01-23,122082800.0
AT,power,2019-01-24,118219200.0
AT,power,2019-01-25,117660600.0
AT,power,2019-01-26,118746200.0
AT,power,2019-01-27,94877000.0
AT,power,2019-01-28,120376000.0
AT,power,2019-01-29,109375200.0
AT,power,2019-01-30,142842000.0
AT,power,2019-01-31,111625000.0
AT,power,2019-02-01,134663000.0
AT,power,2019-02-02,102917600.0
AT,power,2019-02-03,95180600.0
AT,power,2019-02-04,121370800.0
AT,power,2019-02-05,133158600.0
AT,power,2019-02-06,113746000.0
AT,power,2019-02-07,90020800.0
AT,power,2019-02-08,107260400.0
AT,power,2019-02-09,58460600.0
AT,power,2019-02-10,54786200.0
AT,power,2019-02-11,77496800.0
AT,power,2019-02-12,96833200.0
AT,power,2019-02-13,108608200.0
AT,power,2019-02-14,108217400.0
AT,power,2019-02-15,103382200.0
AT,power,2019-02-16,73317200.0
AT,power,2019-02-17,71070200.0
AT,power,2019-02-18,89034000.0
AT,power,2019-02-19,97792200.0
AT,power,2019-02-20,65536600.00000001
AT,power,2019-02-21,74328800.0
AT,power,2019-02-22,79017000.0
AT,power,2019-02-23,79843000.0
AT,power,2019-02-24,79738600.0
AT,power,2019-02-25,85905400.0
AT,power,2019-02-26,66648600.00000001
AT,power,2019-02-27,65720400.0
AT,power,2019-02-28,54741400.0
AT,power,2019-03-01,52998800.0
AT,power,2019-03-02,40325800.0
AT,power,2019-03-03,20222200.0
AT,power,2019-03-04,30742000.0
AT,power,2019-03-05,41511200.0
AT,power,2019-03-06,51889200.00000001
AT,power,2019-03-07,28458600.0
AT,power,2019-03-08,32076400.0
AT,power,2019-03-09,17043800.0
AT,power,2019-03-10,18496800.0
AT,power,2019-03-11,43946200.0
AT,power,2019-03-12,60495200.0
AT,power,2019-03-13,45237600.0
AT,power,2019-03-14,37213200.0
AT,power,2019-03-15,34591800.0
AT,power,2019-03-16,26767800.0
AT,power,2019-03-17,6517800.0
AT,power,2019-03-18,52845800.0
AT,power,2019-03-19,65913200.0
AT,power,2019-03-20,65675800.0
AT,power,2019-03-21,65852400.0
AT,power,2019-03-22,64283200.0
AT,power,2019-03-23,31217600.0
AT,power,2019-03-24,21787600.0
AT,power,2019-03-25,33816400.0
AT,power,2019-03-26,59847800.0
AT,power,2019-03-27,64665000.0
AT,power,2019-03-28,66426600.00000001
AT,power,2019-03-29,61814600.0
AT,power,2019-03-30,55142800.0
AT,power,2019-03-31,33579800.0
AT,power,2019-04-01,42378200.0
AT,power,2019-04-02,38830000.0
AT,power,2019-04-03,40546400.0
AT,power,2019-04-04,40200800.0
AT,power,2019-04-05,38602800.0
AT,power,2019-04-06,24948000.0
AT,power,2019-04-07,15081400.0
AT,power,2019-04-08,35156200.0
AT,power,2019-04-09,62438200.0
AT,power,2019-04-10,38515200.0
AT,power,2019-04-11,38312200.0
AT,power,2019-04-12,42471800.0
AT,power,2019-04-13,41774200.0
AT,power,2019-04-14,37320200.0
AT,power,2019-04-15,76478000.0
AT,power,2019-04-16,74600200.0
AT,power,2019-04-17,63836000.0
AT,power,2019-04-18,66190600.00000001
AT,power,2019-04-19,59873800.0
AT,power,2019-04-20,37194400.0
AT,power,2019-04-21,599800.0
