month,country,type,demand,demand_TWh
2018-12,AT,power,2565.6,2.5656e-06
2019-01,AT,power,131151.58333333334,0.00013115158333333333
2019-02,AT,power,103699.825,0.000103699825
2019-03,AT,power,55475.125,5.5475125e-05
2019-04,AT,power,43959.15833333333,4.395915833333333e-05
2019-05,AT,power,6556.291666666667,6.556291666666667e-06
2019-06,AT,power,14993.199999999999,1.4993199999999999e-05
2019-07,AT,power,40959.025,4.0959025e-05
2019-08,AT,power,58681.95,5.8681949999999995e-05
2019-09,AT,power,77296.06666666667,7.729606666666667e-05
2019-10,AT,power,102909.26666666666,0.00010290926666666667
2019-11,AT,power,105754.55,0.00010575455
2019-12,AT,power,105678.55833333333,0.00010567855833333333
2020-01,AT,power,151962.05,0.00015196205
2020-02,AT,power,82900.45833333333,8.290045833333333e-05
2020-03,AT,power,78777.84166666666,7.877784166666665e-05
2020-04,AT,power,34271.333333333336,3.427133333333334e-05
2020-05,AT,power,7057.025,7.0570249999999996e-06
2020-06,AT,power,7792.383333333333,7.792383333333333e-06
2020-07,AT,power,36828.05,3.6828050000000004e-05
2020-08,AT,power,33462.1,3.34621e-05
2020-09,AT,power,33012.775,3.3012775e-05
2020-10,AT,power,67157.7,6.71577e-05
2020-11,AT,power,98738.96666666667,9.873896666666668e-05
2020-12,AT,power,122737.15833333333,0.00012273715833333333
2021-01,AT,power,121399.29166666666,0.00012139929166666666
2021-02,AT,power,95712.11666666667,9.571211666666666e-05
2021-03,AT,power,92052.96666666666,9.205296666666665e-05
2021-04,AT,power,70902.28333333333,7.090228333333332e-05
2021-05,AT,power,22513.066666666666,2.2513066666666666e-05
2021-06,AT,power,6410.016666666666,6.410016666666666e-06
2021-07,AT,power,6459.116666666667,6.459116666666666e-06
2021-08,AT,power,4724.858333333333,4.724858333333333e-06
2021-09,AT,power,15588.991666666667,1.5588991666666668e-05
2021-10,AT,power,77736.41666666667,7.773641666666667e-05
2021-11,AT,power,138658.73333333334,0.00013865873333333335
2021-12,AT,power,130887.49166666667,0.00013088749166666666
2022-01,AT,power,131576.20833333334,0.00013157620833333333
2022-02,AT,power,105505.75,0.00010550575
2022-03,AT,power,124879.76666666666,0.00012487976666666667
2022-04,AT,power,61114.35,6.111435e-05
2022-05,AT,power,47012.89166666666,4.701289166666666e-05
2022-06,AT,power,10625.25,1.062525e-05
2022-07,AT,power,16617.383333333335,1.6617383333333334e-05
2022-08,AT,power,15813.533333333333,1.5813533333333334e-05
2022-09,AT,power,60338.666666666664,6.0338666666666665e-05
2022-10,AT,power,64659.441666666666,6.465944166666666e-05
2022-11,AT,power,100522.83333333333,0.00010052283333333333
2022-12,AT,power,107021.8,0.0001070218
2023-01,AT,power,86773.16666666666,8.677316666666665e-05
2023-02,AT,power,90460.55833333333,9.046055833333334e-05
2023-03,AT,power,66565.875,6.6565875e-05
2023-04,AT,power,52396.175,5.2396175e-05
2023-05,AT,power,20835.85,2.0835849999999998e-05
2023-06,AT,power,2483.3333333333335,2.4833333333333334e-06
2023-07,AT,power,10301.216666666667,1.0301216666666667e-05
2023-08,AT,power,2643.0750000000003,2.643075e-06
2023-09,AT,power,23846.158333333333,2.3846158333333334e-05
2023-10,AT,power,38110.275,3.8110275e-05
2023-11,AT,power,63620.7,6.36207e-05
2023-12,AT,power,79756.09999999999,7.97561e-05
2024-01,AT,power,100726.25833333333,0.00010072625833333333
2024-02,AT,power,53496.6,5.34966e-05
2024-03,AT,power,41079.65833333333,4.1079658333333334e-05
2024-04,AT,power,17159.733333333334,1.7159733333333334e-05
2024-05,AT,power,983.8416666666667,9.838416666666668e-07
2024-06,AT,power,3074.9333333333334,3.0749333333333334e-06
2024-07,AT,power,1372.7166666666667,1.3727166666666667e-06
2024-08,AT,power,6596.233333333334,6.596233333333334e-06
2024-09,AT,power,7403.458333333333,7.403458333333333e-06
2024-10,AT,power,33623.725,3.3623724999999996e-05
2024-11,AT,power,119523.20833333333,0.00011952320833333333
2024-12,AT,power,113517.31666666667,0.00011351731666666666
2025-01,AT,power,28656.879166666666,2.8656879166666664e-05
2019-01,AT,total,13783888527.0,13.783888527
2019-02,AT,total,10265904401.0,10.265904401
2019-03,AT,total,6612823733.916,6.6128237339160005
2019-04,AT,total,6602446359.511,6.602446359511
2019-05,AT,total,5759787669.989,5.7597876699890005
2019-06,AT,total,4037619804.67,4.03761980467
2019-07,AT,total,4359022867.068,4.359022867068
2019-08,AT,total,5031169957.993,5.031169957993
2019-09,AT,total,6418073463.958,6.418073463958001
2019-10,AT,total,8404681699.997,8.404681699996999
2019-11,AT,total,9940213181.077,9.940213181077
2019-12,AT,total,11323720190.729,11.323720190729
2020-01,AT,total,13408606557.493,13.408606557493
2020-02,AT,total,9813996958.23,9.81399695823
2020-03,AT,total,9287013227.902,9.287013227902001
2020-04,AT,total,5789306837.341,5.789306837341
2020-05,AT,total,4755062269.234,4.755062269234
2020-06,AT,total,3833403420.894,3.833403420894
2020-07,AT,total,4200741279.556,4.200741279556
2020-08,AT,total,4154539565.34,4.15453956534
2020-09,AT,total,4873951691.317,4.873951691317
2020-10,AT,total,7962595547.212,7.962595547212
2020-11,AT,total,10519918227.09,10.51991822709
2020-12,AT,total,12027781626.101,12.027781626101
2021-01,AT,total,13027346193.038,13.027346193038
2021-02,AT,total,10695260599.591,10.695260599591
2021-03,AT,total,10373659637.116,10.373659637115999
2021-04,AT,total,8481673612.843,8.481673612843
2021-05,AT,total,5695495530.472,5.695495530472
2021-06,AT,total,3974175205.291,3.974175205291
2021-07,AT,total,3945900939.59,3.94590093959
2021-08,AT,total,3987378973.383,3.987378973383
2021-09,AT,total,4655408249.345,4.655408249345
2021-10,AT,total,8024854604.628,8.024854604628
2021-11,AT,total,11400712797.965,11.400712797965
2021-12,AT,total,11960593098.066,11.960593098066
2022-01,AT,total,12853247039.534,12.853247039534
2022-02,AT,total,10143243993.728,10.143243993728001
2022-03,AT,total,10345563412.267,10.345563412267
2022-04,AT,total,7243442150.624001,7.243442150624
2022-05,AT,total,4725072150.572,4.725072150571999
2022-06,AT,total,3763821588.267,3.763821588267
2022-07,AT,total,3513990536.466,3.5139905364660002
2022-08,AT,total,3285782095.882,3.285782095882
2022-09,AT,total,4900754419.076,4.900754419076001
2022-10,AT,total,5842517303.479,5.842517303479
2022-11,AT,total,8568695694.705,8.568695694705
2022-12,AT,total,9971006824.984,9.971006824983998
2023-01,AT,total,9930233496.886,9.930233496886
2023-02,AT,total,8989707504.954,8.989707504954
2023-03,AT,total,7611967683.086,7.611967683086
2023-04,AT,total,6800012910.85,6.8000129108500005
2023-05,AT,total,4660386104.049,4.660386104049
2023-06,AT,total,3291329134.9570003,3.2913291349570004
2023-07,AT,total,3367309741.517,3.3673097415170004
2023-08,AT,total,3214292827.822,3.214292827822
2023-09,AT,total,3846506268.379,3.846506268379
2023-10,AT,total,5403742851.255,5.403742851255
