country,year,unit,lv1_demand,lv1_fce,lv1_fcne,lv1_transformation_input,lv1_direct_energy_sector,lv1_losses,lv2_demand,lv2_fce_industry,lv2_fce_household,lv2_fce_commercial,lv2_fce_other,lv2_fce_transport,lv2_fcne_industry,lv2_fcne_other,lv2_ti_electricity,lv2_ti_chp,lv2_ti_heat,lv2_ti_other,lv2_direct_energy_sector,lv2_losses,check_lv1_sum,check_lv1_gap,check_reconciles_lv1,check_lv2_sum,check_lv2_gap,check_reconciles_lv2
AL,1990,TJ_GCV,9453.0,9453.0,0.0,0.0,0.0,0.0,9453.0,7610.0,423.0,0.0,1420.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9453.0,0.0,True,9453.0,0.0,True
AL,1991,TJ_GCV,5500.0,5500.0,0.0,0.0,0.0,0.0,5500.0,4256.0,444.0,0.0,800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5500.0,0.0,True,5500.0,0.0,True
AL,1992,TJ_GCV,3984.0,3984.0,0.0,0.0,0.0,0.0,3984.0,2740.0,444.0,0.0,800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3984.0,0.0,True,3984.0,0.0,True
AL,1993,TJ_GCV,3184.0,3184.0,0.0,0.0,0.0,0.0,3184.0,2064.0,400.0,0.0,720.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3184.0,0.0,True,3184.0,0.0,True
AL,1994,TJ_GCV,2027.0,2027.0,0.0,0.0,0.0,0.0,2027.0,1674.0,282.0,0.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2027.0,0.0,True,2027.0,0.0,True
AL,1995,TJ_GCV,1077.0,1077.0,0.0,0.0,0.0,0.0,1077.0,883.0,155.0,0.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1077.0,0.0,True,1077.0,0.0,True
AL,1996,TJ_GCV,894.0,894.0,0.0,0.0,0.0,0.0,894.0,733.0,129.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,894.0,0.0,True,894.0,0.0,True
AL,1997,TJ_GCV,711.0,65.0,0.0,0.0,644.0,2.0,711.0,0.0,0.0,0.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,644.0,2.0,711.0,0.0,True,711.0,0.0,True
AL,1998,TJ_GCV,644.0,36.0,0.0,0.0,606.0,2.0,644.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,606.0,2.0,644.0,0.0,True,644.0,0.0,True
AL,1999,TJ_GCV,629.0,128.0,0.0,0.0,501.0,0.0,629.0,128.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,501.0,0.0,629.0,0.0,True,629.0,0.0,True
AL,2000,TJ_GCV,419.0,42.0,0.0,0.0,377.0,0.0,419.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,377.0,0.0,419.0,0.0,True,419.0,0.0,True
AL,2001,TJ_GCV,327.0,38.0,0.0,0.0,289.0,0.0,327.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,289.0,0.0,327.0,0.0,True,327.0,0.0,True
AL,2002,TJ_GCV,544.0,0.0,0.0,0.0,544.0,0.0,544.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,544.0,0.0,544.0,0.0,True,544.0,0.0,True
AL,2003,TJ_GCV,502.0,0.0,0.0,0.0,502.0,0.0,502.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,502.0,0.0,502.0,0.0,True,502.0,0.0,True
AL,2004,TJ_GCV,385.0,0.0,0.0,0.0,385.0,0.0,385.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,385.0,0.0,385.0,0.0,True,385.0,0.0,True
AL,2005,TJ_GCV,418.0,0.0,0.0,0.0,418.0,0.0,418.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,418.0,0.0,418.0,0.0,True,418.0,0.0,True
AL,2006,TJ_GCV,418.0,0.0,0.0,0.0,418.0,0.0,418.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,418.0,0.0,418.0,0.0,True,418.0,0.0,True
AL,2007,TJ_GCV,670.0,84.0,0.0,0.0,586.0,0.0,670.0,0.0,0.0,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,586.0,0.0,670.0,0.0,True,670.0,0.0,True
AL,2008,TJ_GCV,335.0,0.0,0.0,0.0,335.0,0.0,335.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,335.0,0.0,335.0,0.0,True,335.0,0.0,True
