country,date,demand,type,source
AT,2019-01-01,395114041.0,total,aggm
AT,2019-01-02,454302590.0,total,aggm
AT,2019-01-03,456448829.0,total,aggm
AT,2019-01-04,383755984.0,total,aggm
AT,2019-01-05,374744840.0,total,aggm
AT,2019-01-06,458049671.0,total,aggm
AT,2019-01-07,429888530.0,total,aggm
AT,2019-01-08,445141248.0,total,aggm
AT,2019-01-09,458175949.0,total,aggm
AT,2019-01-10,476379687.0,total,aggm
AT,2019-01-11,398927676.0,total,aggm
AT,2019-01-12,348525019.0,total,aggm
AT,2019-01-13,398367780.0,total,aggm
AT,2019-01-14,433673740.0,total,aggm
AT,2019-01-15,455704440.0,total,aggm
AT,2019-01-16,430330235.0,total,aggm
AT,2019-01-17,412454462.0,total,aggm
AT,2019-01-18,441529324.0,total,aggm
AT,2019-01-19,444425768.0,total,aggm
AT,2019-01-20,486526594.0,total,aggm
AT,2019-01-21,507274417.0,total,aggm
AT,2019-01-22,507815672.0,total,aggm
AT,2019-01-23,502233504.0,total,aggm
AT,2019-01-24,494836239.0,total,aggm
AT,2019-01-25,457871240.0,total,aggm
AT,2019-01-26,406172508.0,total,aggm
AT,2019-01-27,459587792.0,total,aggm
AT,2019-01-28,443758068.0,total,aggm
AT,2019-01-29,494467185.0,total,aggm
AT,2019-01-30,462011982.0,total,aggm
AT,2019-01-31,465393513.0,total,aggm
AT,2019-02-01,368769573.0,total,aggm
AT,2019-02-02,370486128.0,total,aggm
AT,2019-02-03,442206719.0,total,aggm
AT,2019-02-04,472313509.0,total,aggm
AT,2019-02-05,460645444.0,total,aggm
AT,2019-02-06,441696751.0,total,aggm
AT,2019-02-07,423440239.0,total,aggm
AT,2019-02-08,349241673.0,total,aggm
AT,2019-02-09,334938284.0,total,aggm
AT,2019-02-10,380628737.0,total,aggm
AT,2019-02-11,415985194.0,total,aggm
AT,2019-02-12,416854205.0,total,aggm
AT,2019-02-13,399584191.0,total,aggm
AT,2019-02-14,385652033.0,total,aggm
AT,2019-02-15,332454180.0,total,aggm
AT,2019-02-16,319703460.0,total,aggm
AT,2019-02-17,372867096.0,total,aggm
AT,2019-02-18,366668735.0,total,aggm
AT,2019-02-19,324010134.0,total,aggm
AT,2019-02-20,323278354.0,total,aggm
AT,2019-02-21,344179662.0,total,aggm
