demand,year,month,country,type,source
9.173505275498242,2019,01,NL,power,CBS
8.157483391949981,2019,02,NL,power,CBS
7.8937084798749515,2019,03,NL,power,CBS
6.506447831184056,2019,04,NL,power,CBS
8.32356389214537,2019,05,NL,power,CBS
7.38569753810082,2019,06,NL,power,CBS
8.8315748339195,2019,07,NL,power,CBS
8.909730363423213,2019,08,NL,power,CBS
9.19304415787417,2019,09,NL,power,CBS
9.593591246580695,2019,10,NL,power,CBS
9.153966393122314,2019,11,NL,power,CBS
7.639703008987886,2019,12,NL,power,CBS
11.019929660023447,2020,01,NL,power,CBS
8.147713950762016,2020,02,NL,power,CBS
7.229386479093396,2020,03,NL,power,CBS
6.0863618601016025,2020,04,NL,power,CBS
7.7178585384915985,2020,05,NL,power,CBS
8.655724892536147,2020,06,NL,power,CBS
10.541227041813208,2020,07,NL,power,CBS
11.254396248534585,2020,08,NL,power,CBS
8.73388042203986,2020,09,NL,power,CBS
7.473622508792497,2020,10,NL,power,CBS
8.694802657288003,2020,11,NL,power,CBS
8.577569363032435,2020,12,NL,power,CBS
8.137944509574053,2021,01,NL,power,CBS
8.186791715513873,2021,02,NL,power,CBS
8.333333333333334,2021,03,NL,power,CBS
5.930050801094177,2021,04,NL,power,CBS
5.3341148886283705,2021,05,NL,power,CBS
7.161000390777647,2021,06,NL,power,CBS
5.402500976944119,2021,07,NL,power,CBS
2.3348964439234074,2021,08,NL,power,CBS
4.787026182102384,2021,09,NL,power,CBS
3.7416959749902308,2021,10,NL,power,CBS
7.69831965611567,2021,11,NL,power,CBS
6.77999218444705,2021,12,NL,power,CBS
6.6139116842516605,2022,01,NL,power,CBS
3.819851504493943,2022,02,NL,power,CBS
5.930050801094177,2022,03,NL,power,CBS
4.00547088706526,2022,04,NL,power,CBS
5.148495506057054,2022,05,NL,power,CBS
5.734661977334897,2022,06,NL,power,CBS
