"Name","Location","Date","Value","Unit"
"DM","DM",2019-01-01,7229068,"kWh"
"DM","DM",2019-01-02,10371686,"kWh"
"DM","DM",2019-01-03,10489770,"kWh"
"DM","DM",2019-01-04,10480395,"kWh"
"DM","DM",2019-01-05,8326629,"kWh"
"DM","DM",2019-01-06,7283603,"kWh"
"DM","DM",2019-01-07,10283572,"kWh"
"DM","DM",2019-01-08,10862024,"kWh"
"DM","DM",2019-01-09,10695477,"kWh"
"DM","DM",2019-01-10,10267522,"kWh"
"DM","DM",2019-01-11,10033633,"kWh"
"DM","DM",2019-01-12,8182342,"kWh"
"DM","DM",2019-01-13,7740323,"kWh"
"DM","DM",2019-01-14,10749840,"kWh"
"DM","DM",2019-01-15,10611679,"kWh"
"DM","DM",2019-01-16,11516371,"kWh"
"DM","DM",2019-01-17,11858640,"kWh"
"DM","DM",2019-01-18,10656601,"kWh"
"DM","DM",2019-01-19,8559828,"kWh"
"DM","DM",2019-01-20,8754905,"kWh"
"DM","DM",2019-01-21,12648528,"kWh"
"DM","DM",2019-01-22,13089809,"kWh"
"DM","DM",2019-01-23,12182809,"kWh"
"DM","DM",2019-01-24,10813715,"kWh"
"DM","DM",2019-01-25,10176196,"kWh"
"DM","DM",2019-01-26,8715846,"kWh"
"DM","DM",2019-01-27,9219162,"kWh"
"DM","DM",2019-01-28,12161222,"kWh"
"DM","DM",2019-01-29,12883097,"kWh"
"DM","DM",2019-01-30,13027001,"kWh"
"DM","DM",2019-01-31,12832644,"kWh"
"DM","DM",2019-02-01,12899895,"kWh"
"DM","DM",2019-02-02,10398701,"kWh"
"DM","DM",2019-02-03,8756816,"kWh"
"DM","DM",2019-02-04,11939465,"kWh"
"DM","DM",2019-02-05,11599284,"kWh"
"DM","DM",2019-02-06,11502998,"kWh"
"DM","DM",2019-02-07,11650576,"kWh"
"DM","DM",2019-02-08,10776596,"kWh"
"DM","DM",2019-02-09,9016982,"kWh"
"DM","DM",2019-02-10,8724674,"kWh"
"DM","DM",2019-02-11,11136270,"kWh"
"DM","DM",2019-02-12,10752784,"kWh"
"DM","DM",2019-02-13,10861752,"kWh"
"DM","DM",2019-02-14,11554651,"kWh"
"DM","DM",2019-02-15,10266215,"kWh"
"DM","DM",2019-02-16,8538604,"kWh"
"DM","DM",2019-02-17,8031520,"kWh"
"DM","DM",2019-02-18,11532188,"kWh"
"DM","DM",2019-02-19,11265679,"kWh"
"DM","DM",2019-02-20,10282945,"kWh"
"DM","DM",2019-02-21,10180079,"kWh"
"DM","DM",2019-02-22,9911789,"kWh"
"DM","DM",2019-02-23,8308738,"kWh"
