date,variable,value,year,date20
2019-01-01,value,0.395114041,2019,2020-01-01
2019-01-02,value,0.45430259,2019,2020-01-02
2019-01-03,value,0.456448829,2019,2020-01-03
2019-01-04,value,0.383755984,2019,2020-01-04
2019-01-05,value,0.37474484,2019,2020-01-05
2019-01-06,value,0.458049671,2019,2020-01-06
2019-01-07,value,0.42988853,2019,2020-01-07
2019-01-08,value,0.445141248,2019,2020-01-08
2019-01-09,value,0.458175949,2019,2020-01-09
2019-01-10,value,0.476379687,2019,2020-01-10
2019-01-11,value,0.398927676,2019,2020-01-11
2019-01-12,value,0.348525019,2019,2020-01-12
2019-01-13,value,0.39836778,2019,2020-01-13
2019-01-14,value,0.43367374,2019,2020-01-14
2019-01-15,value,0.45570444,2019,2020-01-15
2019-01-16,value,0.430330235,2019,2020-01-16
2019-01-17,value,0.412454462,2019,2020-01-17
2019-01-18,value,0.441529324,2019,2020-01-18
2019-01-19,value,0.444425768,2019,2020-01-19
2019-01-20,value,0.486526594,2019,2020-01-20
2019-01-21,value,0.507274417,2019,2020-01-21
2019-01-22,value,0.507815672,2019,2020-01-22
2019-01-23,value,0.502233504,2019,2020-01-23
2019-01-24,value,0.494836239,2019,2020-01-24
2019-01-25,value,0.45787124,2019,2020-01-25
2019-01-26,value,0.406172508,2019,2020-01-26
2019-01-27,value,0.459587792,2019,2020-01-27
2019-01-28,value,0.443758068,2019,2020-01-28
2019-01-29,value,0.494467185,2019,2020-01-29
2019-01-30,value,0.462011982,2019,2020-01-30
2019-01-31,value,0.465393513,2019,2020-01-31
2019-02-01,value,0.368769573,2019,2020-02-01
2019-02-02,value,0.370486128,2019,2020-02-02
2019-02-03,value,0.442206719,2019,2020-02-03
2019-02-04,value,0.472313509,2019,2020-02-04
2019-02-05,value,0.460645444,2019,2020-02-05
2019-02-06,value,0.441696751,2019,2020-02-06
2019-02-07,value,0.423440239,2019,2020-02-07
2019-02-08,value,0.349241673,2019,2020-02-08
2019-02-09,value,0.334938284,2019,2020-02-09
2019-02-10,value,0.380628737,2019,2020-02-10
2019-02-11,value,0.415985194,2019,2020-02-11
2019-02-12,value,0.416854205,2019,2020-02-12
2019-02-13,value,0.399584191,2019,2020-02-13
2019-02-14,value,0.385652033,2019,2020-02-14
2019-02-15,value,0.33245418,2019,2020-02-15
2019-02-16,value,0.31970346,2019,2020-02-16
2019-02-17,value,0.372867096,2019,2020-02-17
2019-02-18,value,0.366668735,2019,2020-02-18
2019-02-19,value,0.324010134,2019,2020-02-19
2019-02-20,value,0.323278354,2019,2020-02-20
2019-02-21,value,0.344179662,2019,2020-02-21
2019-02-22,value,0.368048519,2019,2020-02-22
2019-02-23,value,0.37039273,2019,2020-02-23
2019-02-24,value,0.35993766,2019,2020-02-24
2019-02-25,value,0.313340868,2019,2020-02-25
2019-02-26,value,0.306077864,2019,2020-02-26
2019-02-27,value,0.276176388,2019,2020-02-27
2019-02-28,value,0.226326071,2019,2020-02-28
2019-03-01,value,0.208304367,2019,2020-03-01
2019-03-02,value,0.1794128,2019,2020-03-02
2019-03-03,value,0.197790226,2019,2020-03-03
2019-03-04,value,0.219364581,2019,2020-03-04
2019-03-05,value,0.22207084,2019,2020-03-05
2019-03-06,value,0.194361622,2019,2020-03-06
2019-03-07,value,0.208197216,2019,2020-03-07
2019-03-08,value,0.187752967,2019,2020-03-08
2019-03-09,value,0.18314209,2019,2020-03-09
2019-03-10,value,0.241703746,2019,2020-03-10
2019-03-11,value,0.262429519,2019,2020-03-11
2019-03-12,value,0.252668699,2019,2020-03-12
2019-03-13,value,0.234969328,2019,2020-03-13
2019-03-14,value,0.225731077,2019,2020-03-14
2019-03-15,value,0.196223875,2019,2020-03-15
2019-03-16,value,0.162247673,2019,2020-03-16
2019-03-17,value,0.240586778,2019,2020-03-17
2019-03-18,value,0.259411344,2019,2020-03-18
2019-03-19,value,0.262362173,2019,2020-03-19
2019-03-20,value,0.249624174,2019,2020-03-20
2019-03-21,value,0.224297656,2019,2020-03-21
2019-03-22,value,0.17173774,2019,2020-03-22
2019-03-23,value,0.148864053,2019,2020-03-23
2019-03-24,value,0.194835716,2019,2020-03-24
2019-03-25,value,0.229898027,2019,2020-03-25
2019-03-26,value,0.236081382,2019,2020-03-26
2019-03-27,value,0.231816034,2019,2020-03-27
2019-03-28,value,0.213103392,2019,2020-03-28
2019-03-29,value,0.188033806,2019,2020-03-29
2019-03-30,value,0.157965046,2019,2020-03-30
2019-03-31,value,0.227835786916,2019,2020-03-31
2019-04-01,value,0.23448870656,2019,2020-04-01
2019-04-02,value,0.22408057379,2019,2020-04-02
2019-04-03,value,0.225025973097,2019,2020-04-03
2019-04-04,value,0.235714485521,2019,2020-04-04
2019-04-05,value,0.210644082232,2019,2020-04-05
2019-04-06,value,0.19175918381,2019,2020-04-06
2019-04-07,value,0.229388824355,2019,2020-04-07
2019-04-08,value,0.250603031268,2019,2020-04-08
2019-04-09,value,0.24464431485,2019,2020-04-09
2019-04-10,value,0.270758263701,2019,2020-04-10
2019-04-11,value,0.281267043811,2019,2020-04-11
2019-04-12,value,0.262991538422,2019,2020-04-12
2019-04-13,value,0.25506048676,2019,2020-04-13
2019-04-14,value,0.29105261654,2019,2020-04-14
2019-04-15,value,0.277364978409,2019,2020-04-15
2019-04-16,value,0.261810376586,2019,2020-04-16
2019-04-17,value,0.247501755117,2019,2020-04-17
2019-04-18,value,0.228958564369,2019,2020-04-18
2019-04-19,value,0.188782942,2019,2020-04-19
2019-04-20,value,0.139005713679,2019,2020-04-20
2019-04-21,value,0.140242255735,2019,2020-04-21
2019-04-22,value,0.196112068002,2019,2020-04-22
2019-04-23,value,0.185375116138,2019,2020-04-23
2019-04-24,value,0.165809536598,2019,2020-04-24
2019-04-25,value,0.171335632341,2019,2020-04-25
2019-04-26,value,0.155447754989,2019,2020-04-26
2019-04-27,value,0.173964379981,2019,2020-04-27
2019-04-28,value,0.242059071423,2019,2020-04-28
2019-04-29,value,0.246617771601,2019,2020-04-29
2019-04-30,value,0.174579317826,2019,2020-04-30
2019-05-01,value,0.185502406483,2019,2020-05-01
2019-05-02,value,0.192007309489,2019,2020-05-02
2019-05-03,value,0.186378901292,2019,2020-05-03
2019-05-04,value,0.223529728197,2019,2020-05-04
2019-05-05,value,0.252017267358,2019,2020-05-05
2019-05-06,value,0.239746172543,2019,2020-05-06
2019-05-07,value,0.210765052362,2019,2020-05-07
2019-05-08,value,0.230155895308,2019,2020-05-08
2019-05-09,value,0.181091864384,2019,2020-05-09
2019-05-10,value,0.163617017951,2019,2020-05-10
2019-05-11,value,0.192599808937,2019,2020-05-11
2019-05-12,value,0.230570120433,2019,2020-05-12
2019-05-13,value,0.238297752949,2019,2020-05-13
2019-05-14,value,0.256956687083,2019,2020-05-14
2019-05-15,value,0.233929636215,2019,2020-05-15
2019-05-16,value,0.205015639388,2019,2020-05-16
2019-05-17,value,0.156881001653,2019,2020-05-17
2019-05-18,value,0.145563396161,2019,2020-05-18
2019-05-19,value,0.172160617331,2019,2020-05-19
2019-05-20,value,0.181876115733,2019,2020-05-20
2019-05-21,value,0.185588975162,2019,2020-05-21
2019-05-22,value,0.181301292213,2019,2020-05-22
2019-05-23,value,0.158787076236,2019,2020-05-23
2019-05-24,value,0.130740408469,2019,2020-05-24
2019-05-25,value,0.122852794814,2019,2020-05-25
2019-05-26,value,0.149290922365,2019,2020-05-26
2019-05-27,value,0.156361526967,2019,2020-05-27
2019-05-28,value,0.170040566781,2019,2020-05-28
2019-05-29,value,0.152922296513,2019,2020-05-29
2019-05-30,value,0.147694190636,2019,2020-05-30
2019-05-31,value,0.125545228583,2019,2020-05-31
2019-06-01,value,0.118047202135,2019,2020-06-01
2019-06-02,value,0.13774818673,2019,2020-06-02
2019-06-03,value,0.147875896762,2019,2020-06-03
2019-06-04,value,0.137007991411,2019,2020-06-04
2019-06-05,value,0.135961880657,2019,2020-06-05
2019-06-06,value,0.139990173873,2019,2020-06-06
2019-06-07,value,0.116363999408,2019,2020-06-07
2019-06-08,value,0.108527676869,2019,2020-06-08
2019-06-09,value,0.10994051536,2019,2020-06-09
2019-06-10,value,0.138275308564,2019,2020-06-10
2019-06-11,value,0.145818846027,2019,2020-06-11
2019-06-12,value,0.150835545465,2019,2020-06-12
2019-06-13,value,0.141946080179,2019,2020-06-13
2019-06-14,value,0.111760312758,2019,2020-06-14
2019-06-15,value,0.11321028727,2019,2020-06-15
2019-06-16,value,0.131250489381,2019,2020-06-16
2019-06-17,value,0.159342026233,2019,2020-06-17
2019-06-18,value,0.158830280948,2019,2020-06-18
2019-06-19,value,0.116481409044,2019,2020-06-19
2019-06-20,value,0.13987244472,2019,2020-06-20
2019-06-21,value,0.109627384521,2019,2020-06-21
2019-06-22,value,0.110232590235,2019,2020-06-22
2019-06-23,value,0.16077727645,2019,2020-06-23
2019-06-24,value,0.159301404609,2019,2020-06-24
2019-06-25,value,0.167128282394,2019,2020-06-25
2019-06-26,value,0.147847668277,2019,2020-06-26
2019-06-27,value,0.143277187284,2019,2020-06-27
2019-06-28,value,0.122865598395,2019,2020-06-28
2019-06-29,value,0.100835212954,2019,2020-06-29
2019-06-30,value,0.156640645757,2019,2020-06-30
2019-07-01,value,0.14604462524,2019,2020-07-01
2019-07-02,value,0.153448254643,2019,2020-07-02
2019-07-03,value,0.154334175997,2019,2020-07-03
2019-07-04,value,0.122557653652,2019,2020-07-04
2019-07-05,value,0.114620158573,2019,2020-07-05
2019-07-06,value,0.096036289317,2019,2020-07-06
2019-07-07,value,0.156574138979,2019,2020-07-07
2019-07-08,value,0.151982391003,2019,2020-07-08
2019-07-09,value,0.144805164393,2019,2020-07-09
2019-07-10,value,0.165680226561,2019,2020-07-10
2019-07-11,value,0.140796666318,2019,2020-07-11
2019-07-12,value,0.104670925838,2019,2020-07-12
2019-07-13,value,0.10013293737,2019,2020-07-13
2019-07-14,value,0.159933367846,2019,2020-07-14
2019-07-15,value,0.150409280183,2019,2020-07-15
2019-07-16,value,0.154506622656,2019,2020-07-16
2019-07-17,value,0.167107758759,2019,2020-07-17
2019-07-18,value,0.1651360449,2019,2020-07-18
2019-07-19,value,0.123192818355,2019,2020-07-19
2019-07-20,value,0.138792327112,2019,2020-07-20
2019-07-21,value,0.159496216991,2019,2020-07-21
2019-07-22,value,0.156182093,2019,2020-07-22
2019-07-23,value,0.160000017,2019,2020-07-23
2019-07-24,value,0.150952351,2019,2020-07-24
2019-07-25,value,0.165195034,2019,2020-07-25
2019-07-26,value,0.136612727,2019,2020-07-26
2019-07-27,value,0.099693828,2019,2020-07-27
2019-07-28,value,0.108247711,2019,2020-07-28
2019-07-29,value,0.122078659,2019,2020-07-29
2019-07-30,value,0.148909991,2019,2020-07-30
2019-07-31,value,0.140892411382,2019,2020-07-31
2019-08-01,value,0.135144894628,2019,2020-08-01
2019-08-02,value,0.102245925735,2019,2020-08-02
2019-08-03,value,0.098729797755,2019,2020-08-03
2019-08-04,value,0.148752138391,2019,2020-08-04
2019-08-05,value,0.146796644474,2019,2020-08-05
2019-08-06,value,0.141649624517,2019,2020-08-06
2019-08-07,value,0.15935765107,2019,2020-08-07
2019-08-08,value,0.140403182339,2019,2020-08-08
2019-08-09,value,0.119038693437,2019,2020-08-09
2019-08-10,value,0.122653387697,2019,2020-08-10
2019-08-11,value,0.167493434197,2019,2020-08-11
2019-08-12,value,0.16949818558,2019,2020-08-12
2019-08-13,value,0.159938775498,2019,2020-08-13
2019-08-14,value,0.109384512,2019,2020-08-14
2019-08-15,value,0.148982892875,2019,2020-08-15
2019-08-16,value,0.123491663955,2019,2020-08-16
2019-08-17,value,0.123669487057,2019,2020-08-17
2019-08-18,value,0.20074287196,2019,2020-08-18
2019-08-19,value,0.185679013049,2019,2020-08-19
2019-08-20,value,0.185079028222,2019,2020-08-20
2019-08-21,value,0.201035784166,2019,2020-08-21
2019-08-22,value,0.181832354147,2019,2020-08-22
2019-08-23,value,0.170138269488,2019,2020-08-23
2019-08-24,value,0.146711362112,2019,2020-08-24
2019-08-25,value,0.220695472068,2019,2020-08-25
2019-08-26,value,0.231815509242,2019,2020-08-26
2019-08-27,value,0.237953118724,2019,2020-08-27
2019-08-28,value,0.221113418849,2019,2020-08-28
2019-08-29,value,0.210025026547,2019,2020-08-29
2019-08-30,value,0.158761889772,2019,2020-08-30
2019-08-31,value,0.162355948442,2019,2020-08-31
2019-09-01,value,0.199116502743,2019,2020-09-01
2019-09-02,value,0.175382523877,2019,2020-09-02
2019-09-03,value,0.214612718092,2019,2020-09-03
2019-09-04,value,0.216162113529,2019,2020-09-04
2019-09-05,value,0.20120801763,2019,2020-09-05
2019-09-06,value,0.21019823204,2019,2020-09-06
2019-09-07,value,0.177343363031,2019,2020-09-07
2019-09-08,value,0.212675520456,2019,2020-09-08
2019-09-09,value,0.223732972081,2019,2020-09-09
2019-09-10,value,0.202769436903,2019,2020-09-10
2019-09-11,value,0.203439451495,2019,2020-09-11
2019-09-12,value,0.210724782084,2019,2020-09-12
2019-09-13,value,0.173817261086,2019,2020-09-13
2019-09-14,value,0.161263768645,2019,2020-09-14
2019-09-15,value,0.210856832917,2019,2020-09-15
2019-09-16,value,0.224782696298,2019,2020-09-16
2019-09-17,value,0.214030349717,2019,2020-09-17
2019-09-18,value,0.258588048706,2019,2020-09-18
2019-09-19,value,0.275000688987,2019,2020-09-19
2019-09-20,value,0.22663211233,2019,2020-09-20
2019-09-21,value,0.179080327483,2019,2020-09-21
2019-09-22,value,0.255383917631,2019,2020-09-22
2019-09-23,value,0.26812891049,2019,2020-09-23
2019-09-24,value,0.257690697302,2019,2020-09-24
2019-09-25,value,0.243703405473,2019,2020-09-25
2019-09-26,value,0.216321647435,2019,2020-09-26
2019-09-27,value,0.186217482545,2019,2020-09-27
2019-09-28,value,0.188113615001,2019,2020-09-28
2019-09-29,value,0.211509375244,2019,2020-09-29
2019-09-30,value,0.219586692707,2019,2020-09-30
2019-10-01,value,0.250462062871,2019,2020-10-01
2019-10-02,value,0.265234327087,2019,2020-10-02
2019-10-03,value,0.266468900032,2019,2020-10-03
2019-10-04,value,0.224906794059,2019,2020-10-04
2019-10-05,value,0.219943908894,2019,2020-10-05
2019-10-06,value,0.284411053396,2019,2020-10-06
2019-10-07,value,0.272715507608,2019,2020-10-07
2019-10-08,value,0.288886541901,2019,2020-10-08
2019-10-09,value,0.267789288523,2019,2020-10-09
2019-10-10,value,0.237403862235,2019,2020-10-10
2019-10-11,value,0.225651942804,2019,2020-10-11
2019-10-12,value,0.22134949624,2019,2020-10-12
2019-10-13,value,0.265320427067,2019,2020-10-13
2019-10-14,value,0.270727996161,2019,2020-10-14
2019-10-15,value,0.285787520938,2019,2020-10-15
2019-10-16,value,0.285262973565,2019,2020-10-16
2019-10-17,value,0.294195176841,2019,2020-10-17
2019-10-18,value,0.247281637135,2019,2020-10-18
2019-10-19,value,0.240962451662,2019,2020-10-19
2019-10-20,value,0.275736616678,2019,2020-10-20
2019-10-21,value,0.283775951526,2019,2020-10-21
2019-10-22,value,0.27469055639,2019,2020-10-22
2019-10-23,value,0.269251679814,2019,2020-10-23
2019-10-24,value,0.282212414624,2019,2020-10-24
2019-10-25,value,0.22541550534,2019,2020-10-25
2019-10-26,value,0.24572180239,2019,2020-10-26
2019-10-27,value,0.292819816644,2019,2020-10-27
2019-10-28,value,0.335803599692,2019,2020-10-28
2019-10-29,value,0.349979502651,2019,2020-10-29
2019-10-30,value,0.36017026882,2019,2020-10-30
2019-10-31,value,0.294342116409,2019,2020-10-31
2019-11-01,value,0.272596130669,2019,2020-11-01
2019-11-02,value,0.240875023425,2019,2020-11-02
2019-11-03,value,0.302851467667,2019,2020-11-03
2019-11-04,value,0.317742452767,2019,2020-11-04
2019-11-05,value,0.33191807973,2019,2020-11-05
2019-11-06,value,0.332574342728,2019,2020-11-06
2019-11-07,value,0.336085553907,2019,2020-11-07
2019-11-08,value,0.285827627089,2019,2020-11-08
2019-11-09,value,0.302716719169,2019,2020-11-09
2019-11-10,value,0.358591284813,2019,2020-11-10
2019-11-11,value,0.365351409587,2019,2020-11-11
2019-11-12,value,0.411274124978,2019,2020-11-12
2019-11-13,value,0.408484889187,2019,2020-11-13
2019-11-14,value,0.34647864208,2019,2020-11-14
2019-11-15,value,0.284472661963,2019,2020-11-15
2019-11-16,value,0.268293078909,2019,2020-11-16
2019-11-17,value,0.35303795497,2019,2020-11-17
2019-11-18,value,0.37813219427,2019,2020-11-18
2019-11-19,value,0.388969204467,2019,2020-11-19
2019-11-20,value,0.374090428855,2019,2020-11-20
2019-11-21,value,0.329517694847,2019,2020-11-21
2019-11-22,value,0.28185718775,2019,2020-11-22
2019-11-23,value,0.282087894938,2019,2020-11-23
2019-11-24,value,0.369104696695,2019,2020-11-24
2019-11-25,value,0.366722468546,2019,2020-11-25
2019-11-26,value,0.328648230508,2019,2020-11-26
2019-11-27,value,0.310519689187,2019,2020-11-27
2019-11-28,value,0.32398273999,2019,2020-11-28
2019-11-29,value,0.333102656728,2019,2020-11-29
2019-11-30,value,0.354306650658,2019,2020-11-30
2019-12-01,value,0.394062446288,2019,2020-12-01
2019-12-02,value,0.439143781295,2019,2020-12-02
2019-12-03,value,0.446392480888,2019,2020-12-03
2019-12-04,value,0.454224517687,2019,2020-12-04
2019-12-05,value,0.446051496802,2019,2020-12-05
2019-12-06,value,0.359948798737,2019,2020-12-06
2019-12-07,value,0.324008497781,2019,2020-12-07
2019-12-08,value,0.414832225386,2019,2020-12-08
2019-12-09,value,0.403081328844,2019,2020-12-09
2019-12-10,value,0.442524812852,2019,2020-12-10
2019-12-11,value,0.457813247565,2019,2020-12-11
2019-12-12,value,0.439293158341,2019,2020-12-12
2019-12-13,value,0.365687286654,2019,2020-12-13
2019-12-14,value,0.344757541167,2019,2020-12-14
2019-12-15,value,0.396166614982,2019,2020-12-15
2019-12-16,value,0.359905864607,2019,2020-12-16
2019-12-17,value,0.34769496274,2019,2020-12-17
2019-12-18,value,0.325008692623,2019,2020-12-18
2019-12-19,value,0.278965763094,2019,2020-12-19
2019-12-20,value,0.274367954246,2019,2020-12-20
2019-12-21,value,0.289105243443,2019,2020-12-21
2019-12-22,value,0.296911010597,2019,2020-12-22
2019-12-23,value,0.282698040115,2019,2020-12-23
2019-12-24,value,0.265223655032,2019,2020-12-24
2019-12-25,value,0.31032185559,2019,2020-12-25
2019-12-26,value,0.342705689825,2019,2020-12-26
2019-12-27,value,0.353717252798,2019,2020-12-27
2019-12-28,value,0.366340061856,2019,2020-12-28
2019-12-29,value,0.394194783348,2019,2020-12-29
2019-12-30,value,0.357447516914,2019,2020-12-30
2019-12-31,value,0.351123608632,2019,2020-12-31
2020-01-01,value,0.397982189057,2020,2020-01-01
2020-01-02,value,0.435579244097,2020,2020-01-02
2020-01-03,value,0.354683762686,2020,2020-01-03
2020-01-04,value,0.377980646663,2020,2020-01-04
2020-01-05,value,0.438993630522,2020,2020-01-05
2020-01-06,value,0.467786802657,2020,2020-01-06
2020-01-07,value,0.43196034441,2020,2020-01-07
2020-01-08,value,0.452387268062,2020,2020-01-08
2020-01-09,value,0.450953474711,2020,2020-01-09
2020-01-10,value,0.375719969218,2020,2020-01-10
2020-01-11,value,0.400593415507,2020,2020-01-11
2020-01-12,value,0.453389846865,2020,2020-01-12
2020-01-13,value,0.468043343673,2020,2020-01-13
2020-01-14,value,0.476043893874,2020,2020-01-14
2020-01-15,value,0.48564274417,2020,2020-01-15
2020-01-16,value,0.460854044541,2020,2020-01-16
2020-01-17,value,0.41977535902,2020,2020-01-17
2020-01-18,value,0.394059419259,2020,2020-01-18
2020-01-19,value,0.453134234863,2020,2020-01-19
2020-01-20,value,0.480822749855,2020,2020-01-20
2020-01-21,value,0.468525138565,2020,2020-01-21
2020-01-22,value,0.458787439716,2020,2020-01-22
2020-01-23,value,0.462518465742,2020,2020-01-23
2020-01-24,value,0.426668105404,2020,2020-01-24
2020-01-25,value,0.431884997139,2020,2020-01-25
2020-01-26,value,0.470984252873,2020,2020-01-26
2020-01-27,value,0.473727160386,2020,2020-01-27
2020-01-28,value,0.451587261724,2020,2020-01-28
2020-01-29,value,0.448597586334,2020,2020-01-29
2020-01-30,value,0.355644215631,2020,2020-01-30
2020-01-31,value,0.283295550269,2020,2020-01-31
2020-02-01,value,0.262552679282,2020,2020-02-01
2020-02-02,value,0.364147621289,2020,2020-02-02
2020-02-03,value,0.399871585753,2020,2020-02-03
2020-02-04,value,0.397507509313,2020,2020-02-04
2020-02-05,value,0.411450593107,2020,2020-02-05
2020-02-06,value,0.413815008184,2020,2020-02-06
2020-02-07,value,0.378090673668,2020,2020-02-07
2020-02-08,value,0.337177532259,2020,2020-02-08
2020-02-09,value,0.33844467179,2020,2020-02-09
2020-02-10,value,0.339031558176,2020,2020-02-10
2020-02-11,value,0.351679559729,2020,2020-02-11
2020-02-12,value,0.371569982362,2020,2020-02-12
2020-02-13,value,0.351448384499,2020,2020-02-13
2020-02-14,value,0.309136383522,2020,2020-02-14
2020-02-15,value,0.285582746003,2020,2020-02-15
2020-02-16,value,0.319312942249,2020,2020-02-16
2020-02-17,value,0.317024682909,2020,2020-02-17
2020-02-18,value,0.338157816906,2020,2020-02-18
2020-02-19,value,0.345751567217,2020,2020-02-19
2020-02-20,value,0.327652262009,2020,2020-02-20
2020-02-21,value,0.284476408171,2020,2020-02-21
2020-02-22,value,0.245262479256,2020,2020-02-22
2020-02-23,value,0.312021912661,2020,2020-02-23
2020-02-24,value,0.304500085624,2020,2020-02-24
2020-02-25,value,0.355188900627,2020,2020-02-25
2020-02-26,value,0.371251586695,2020,2020-02-26
2020-02-27,value,0.37799708436,2020,2020-02-27
2020-02-28,value,0.317988331805,2020,2020-02-28
2020-02-29,value,0.285904408805,2020,2020-02-29
2020-03-01,value,0.306065679199,2020,2020-03-01
2020-03-02,value,0.325116305895,2020,2020-03-02
2020-03-03,value,0.349997308298,2020,2020-03-03
2020-03-04,value,0.333349556455,2020,2020-03-04
2020-03-05,value,0.317514262389,2020,2020-03-05
2020-03-06,value,0.307794254888,2020,2020-03-06
2020-03-07,value,0.290304278006,2020,2020-03-07
2020-03-08,value,0.332902903124,2020,2020-03-08
2020-03-09,value,0.307819623152,2020,2020-03-09
2020-03-10,value,0.277696060957,2020,2020-03-10
2020-03-11,value,0.267690398592,2020,2020-03-11
2020-03-12,value,0.282990392913,2020,2020-03-12
2020-03-13,value,0.289843007948,2020,2020-03-13
2020-03-14,value,0.25987895361,2020,2020-03-14
2020-03-15,value,0.297857618202,2020,2020-03-15
2020-03-16,value,0.288741381168,2020,2020-03-16
2020-03-17,value,0.261013633358,2020,2020-03-17
2020-03-18,value,0.252541259137,2020,2020-03-18
2020-03-19,value,0.237686110257,2020,2020-03-19
2020-03-20,value,0.236208970822,2020,2020-03-20
2020-03-21,value,0.280249915504,2020,2020-03-21
2020-03-22,value,0.344542021353,2020,2020-03-22
2020-03-23,value,0.356101035994,2020,2020-03-23
2020-03-24,value,0.36582951439,2020,2020-03-24
2020-03-25,value,0.351102653745,2020,2020-03-25
2020-03-26,value,0.30015621451,2020,2020-03-26
2020-03-27,value,0.245023603351,2020,2020-03-27
2020-03-28,value,0.218716302702,2020,2020-03-28
2020-03-29,value,0.323822852961,2020,2020-03-29
2020-03-30,value,0.358084986799,2020,2020-03-30
2020-03-31,value,0.320372168223,2020,2020-03-31
2020-04-01,value,0.285230436456,2020,2020-04-01
2020-04-02,value,0.240462549278,2020,2020-04-02
2020-04-03,value,0.205555838973,2020,2020-04-03
2020-04-04,value,0.240182589951,2020,2020-04-04
2020-04-05,value,0.229322423678,2020,2020-04-05
2020-04-06,value,0.210451071584,2020,2020-04-06
2020-04-07,value,0.201646037778,2020,2020-04-07
2020-04-08,value,0.2182882071,2020,2020-04-08
2020-04-09,value,0.181347550066,2020,2020-04-09
2020-04-10,value,0.147005455591,2020,2020-04-10
2020-04-11,value,0.131409679271,2020,2020-04-11
2020-04-12,value,0.129229093853,2020,2020-04-12
2020-04-13,value,0.22216145533,2020,2020-04-13
2020-04-14,value,0.264673692658,2020,2020-04-14
2020-04-15,value,0.206614761522,2020,2020-04-15
2020-04-16,value,0.179634570726,2020,2020-04-16
2020-04-17,value,0.164987119516,2020,2020-04-17
2020-04-18,value,0.163636722406,2020,2020-04-18
2020-04-19,value,0.222225775594,2020,2020-04-19
2020-04-20,value,0.201636122789,2020,2020-04-20
2020-04-21,value,0.208837794777,2020,2020-04-21
2020-04-22,value,0.193023618329,2020,2020-04-22
2020-04-23,value,0.17730458355,2020,2020-04-23
2020-04-24,value,0.154004274406,2020,2020-04-24
2020-04-25,value,0.158275807621,2020,2020-04-25
2020-04-26,value,0.185001040375,2020,2020-04-26
2020-04-27,value,0.169314396627,2020,2020-04-27
2020-04-28,value,0.18545266138,2020,2020-04-28
2020-04-29,value,0.168603936431,2020,2020-04-29
2020-04-30,value,0.143787569725,2020,2020-04-30
2020-05-01,value,0.140537270594,2020,2020-05-01
2020-05-02,value,0.152415447983,2020,2020-05-02
2020-05-03,value,0.181831092129,2020,2020-05-03
2020-05-04,value,0.181302210788,2020,2020-05-04
2020-05-05,value,0.186287358395,2020,2020-05-05
2020-05-06,value,0.166427136929,2020,2020-05-06
2020-05-07,value,0.160691906129,2020,2020-05-07
2020-05-08,value,0.123268038026,2020,2020-05-08
2020-05-09,value,0.115953468488,2020,2020-05-09
2020-05-10,value,0.14022937859,2020,2020-05-10
2020-05-11,value,0.178082422311,2020,2020-05-11
2020-05-12,value,0.17912102012,2020,2020-05-12
2020-05-13,value,0.17728217426,2020,2020-05-13
2020-05-14,value,0.18672116952,2020,2020-05-14
2020-05-15,value,0.153224323119,2020,2020-05-15
2020-05-16,value,0.132781588553,2020,2020-05-16
2020-05-17,value,0.158346189544,2020,2020-05-17
2020-05-18,value,0.163099819505,2020,2020-05-18
2020-05-19,value,0.133791472394,2020,2020-05-19
2020-05-20,value,0.117626455734,2020,2020-05-20
2020-05-21,value,0.122540607702,2020,2020-05-21
2020-05-22,value,0.114721253764,2020,2020-05-22
2020-05-23,value,0.127301936663,2020,2020-05-23
2020-05-24,value,0.162870706687,2020,2020-05-24
2020-05-25,value,0.172652780611,2020,2020-05-25
2020-05-26,value,0.162268754992,2020,2020-05-26
2020-05-27,value,0.171552397618,2020,2020-05-27
2020-05-28,value,0.164461397531,2020,2020-05-28
2020-05-29,value,0.142990609248,2020,2020-05-29
2020-05-30,value,0.145957583638,2020,2020-05-30
2020-05-31,value,0.138724297669,2020,2020-05-31
2020-06-01,value,0.158864280441,2020,2020-06-01
2020-06-02,value,0.174159853121,2020,2020-06-02
2020-06-03,value,0.135558245348,2020,2020-06-03
2020-06-04,value,0.148824146863,2020,2020-06-04
2020-06-05,value,0.109687567381,2020,2020-06-05
2020-06-06,value,0.10333780953,2020,2020-06-06
2020-06-07,value,0.130890766288,2020,2020-06-07
2020-06-08,value,0.142712513846,2020,2020-06-08
