date,demand,idt
2019-01-01,186160459.0,be-tso-0001dis-00191exit
2019-01-02,234363932.0,be-tso-0001dis-00191exit
2019-01-03,247908644.0,be-tso-0001dis-00191exit
2019-01-04,255547168.0,be-tso-0001dis-00191exit
2019-01-05,226675930.0,be-tso-0001dis-00191exit
2019-01-06,223956265.0,be-tso-0001dis-00191exit
2019-01-07,237782565.0,be-tso-0001dis-00191exit
2019-01-08,248671071.0,be-tso-0001dis-00191exit
2019-01-09,264229011.0,be-tso-0001dis-00191exit
2019-01-10,277727131.0,be-tso-0001dis-00191exit
2019-01-11,246264151.0,be-tso-0001dis-00191exit
2019-01-12,214029002.0,be-tso-0001dis-00191exit
2019-01-13,201671721.0,be-tso-0001dis-00191exit
2019-01-14,239709918.0,be-tso-0001dis-00191exit
2019-01-15,246341637.0,be-tso-0001dis-00191exit
2019-01-16,250275236.0,be-tso-0001dis-00191exit
2019-01-17,271537303.0,be-tso-0001dis-00191exit
2019-01-18,286671676.0,be-tso-0001dis-00191exit
2019-01-19,281224253.0,be-tso-0001dis-00191exit
2019-01-20,300906564.0,be-tso-0001dis-00191exit
2019-01-21,337773003.0,be-tso-0001dis-00191exit
2019-01-22,349953145.0,be-tso-0001dis-00191exit
2019-01-23,330517882.0,be-tso-0001dis-00191exit
2019-01-24,327605440.0,be-tso-0001dis-00191exit
2019-01-25,303477961.0,be-tso-0001dis-00191exit
2019-01-26,235416291.0,be-tso-0001dis-00191exit
2019-01-27,246703418.0,be-tso-0001dis-00191exit
2019-01-28,290109612.0,be-tso-0001dis-00191exit
2019-01-29,294545619.0,be-tso-0001dis-00191exit
2019-01-30,310210640.0,be-tso-0001dis-00191exit
2019-01-31,331992037.0,be-tso-0001dis-00191exit
2019-02-01,286880982.0,be-tso-0001dis-00191exit
2019-02-02,267099513.0,be-tso-0001dis-00191exit
2019-02-03,257873337.0,be-tso-0001dis-00191exit
2019-02-04,313200333.0,be-tso-0001dis-00191exit
2019-02-05,284285722.0,be-tso-0001dis-00191exit
2019-02-06,268157072.0,be-tso-0001dis-00191exit
2019-02-07,238299207.0,be-tso-0001dis-00191exit
2019-02-08,236436869.0,be-tso-0001dis-00191exit
2019-02-09,205990086.0,be-tso-0001dis-00191exit
2019-02-10,220279798.0,be-tso-0001dis-00191exit
2019-02-11,258663209.0,be-tso-0001dis-00191exit
2019-02-12,256390384.0,be-tso-0001dis-00191exit
2019-02-13,243156965.0,be-tso-0001dis-00191exit
2019-02-14,232106483.0,be-tso-0001dis-00191exit
2019-02-15,202910938.0,be-tso-0001dis-00191exit
2019-02-16,176118616.0,be-tso-0001dis-00191exit
2019-02-17,170335375.0,be-tso-0001dis-00191exit
2019-02-18,184491352.0,be-tso-0001dis-00191exit
2019-02-19,195621870.0,be-tso-0001dis-00191exit
2019-02-20,197918958.0,be-tso-0001dis-00191exit
2019-02-21,183761245.0,be-tso-0001dis-00191exit
2019-02-22,181599634.0,be-tso-0001dis-00191exit
2019-02-23,156163529.0,be-tso-0001dis-00191exit
2019-02-24,159103400.0,be-tso-0001dis-00191exit
2019-02-25,169754378.0,be-tso-0001dis-00191exit
2019-02-26,160690818.0,be-tso-0001dis-00191exit
2019-02-27,154798847.0,be-tso-0001dis-00191exit
2019-02-28,182252179.0,be-tso-0001dis-00191exit
2019-03-01,196191195.0,be-tso-0001dis-00191exit
2019-03-02,172160015.0,be-tso-0001dis-00191exit
2019-03-03,162380061.0,be-tso-0001dis-00191exit
2019-03-04,198273135.0,be-tso-0001dis-00191exit
2019-03-05,198677904.0,be-tso-0001dis-00191exit
2019-03-06,191634397.0,be-tso-0001dis-00191exit
2019-03-07,195428136.0,be-tso-0001dis-00191exit
2019-03-08,186584150.0,be-tso-0001dis-00191exit
2019-03-09,167107152.0,be-tso-0001dis-00191exit
2019-03-10,186311890.0,be-tso-0001dis-00191exit
2019-03-11,234095832.0,be-tso-0001dis-00191exit
2019-03-12,233857694.0,be-tso-0001dis-00191exit
2019-03-13,237126073.0,be-tso-0001dis-00191exit
2019-03-14,220887609.0,be-tso-0001dis-00191exit
2019-03-15,197631903.0,be-tso-0001dis-00191exit
2019-03-16,170680836.0,be-tso-0001dis-00191exit
2019-03-17,183424190.0,be-tso-0001dis-00191exit
2019-03-18,213992506.0,be-tso-0001dis-00191exit
2019-03-19,203087537.0,be-tso-0001dis-00191exit
2019-03-20,184205069.0,be-tso-0001dis-00191exit
2019-03-21,165989398.0,be-tso-0001dis-00191exit
2019-03-22,141450549.0,be-tso-0001dis-00191exit
2019-03-23,145156470.0,be-tso-0001dis-00191exit
2019-03-24,142499611.0,be-tso-0001dis-00191exit
2019-03-25,190619454.0,be-tso-0001dis-00191exit
2019-03-26,182058953.0,be-tso-0001dis-00191exit
2019-03-27,175147067.0,be-tso-0001dis-00191exit
2019-03-28,169822619.0,be-tso-0001dis-00191exit
2019-03-29,134347746.0,be-tso-0001dis-00191exit
2019-03-30,96502133.0,be-tso-0001dis-00191exit
2019-03-31,117570577.0,be-tso-0001dis-00191exit
2019-04-01,139826851.0,be-tso-0001dis-00191exit
2019-04-02,152280508.0,be-tso-0001dis-00191exit
2019-04-03,178959529.0,be-tso-0001dis-00191exit
2019-04-04,181740535.0,be-tso-0001dis-00191exit
2019-04-05,157013498.0,be-tso-0001dis-00191exit
2019-04-06,121658018.0,be-tso-0001dis-00191exit
2019-04-07,103703985.0,be-tso-0001dis-00191exit
2019-04-08,139833639.0,be-tso-0001dis-00191exit
2019-04-09,151164695.0,be-tso-0001dis-00191exit
2019-04-10,153747654.0,be-tso-0001dis-00191exit
2019-04-11,163721208.0,be-tso-0001dis-00191exit
2019-04-12,186177537.0,be-tso-0001dis-00191exit
2019-04-13,177136149.0,be-tso-0001dis-00191exit
2019-04-14,183070402.0,be-tso-0001dis-00191exit
2019-04-15,155527100.0,be-tso-0001dis-00191exit
2019-04-16,128183094.0,be-tso-0001dis-00191exit
2019-04-17,126313442.0,be-tso-0001dis-00191exit
2019-04-18,97776888.0,be-tso-0001dis-00191exit
2019-04-19,78661290.0,be-tso-0001dis-00191exit
2019-04-20,60900254.0,be-tso-0001dis-00191exit
2019-04-21,55281223.0,be-tso-0001dis-00191exit
2019-04-22,56274886.0,be-tso-0001dis-00191exit
2019-04-23,73553877.0,be-tso-0001dis-00191exit
2019-04-24,77381354.0,be-tso-0001dis-00191exit
2019-04-25,97731706.0,be-tso-0001dis-00191exit
2019-04-26,95588113.0,be-tso-0001dis-00191exit
2019-04-27,102358197.0,be-tso-0001dis-00191exit
2019-04-28,119658821.0,be-tso-0001dis-00191exit
2019-04-29,120360170.0,be-tso-0001dis-00191exit
2019-04-30,118506641.0,be-tso-0001dis-00191exit
2019-05-01,101544868.0,be-tso-0001dis-00191exit
2019-05-02,124683429.0,be-tso-0001dis-00191exit
