country,date,demand,type,source
AT,2016-01-01,12.491121104000001,total,eurostat
BE,2016-01-01,21.026683488,total,eurostat
BG,2016-01-01,4.403336856,total,eurostat
CY,2016-01-01,0.0,total,eurostat
CZ,2016-01-01,12.90695477,total,eurostat
DE,2016-01-01,138.45455520800002,total,eurostat
DK,2016-01-01,5.39167098,total,eurostat
EE,2016-01-01,1.045556392,total,eurostat
ES,2016-01-01,30.455857698000003,total,eurostat
EU27_2020,2016-01-01,525.876531812,total,eurostat
FI,2016-01-01,4.312781228,total,eurostat
FR,2016-01-01,63.129494948,total,eurostat
GR,2016-01-01,4.478059138,total,eurostat
HR,2016-01-01,3.648058474,total,eurostat
HU,2016-01-01,16.228068538000002,total,eurostat
IE,2016-01-01,4.713337104,total,eurostat
IT,2016-01-01,96.64702176200001,total,eurostat
LT,2016-01-01,3.06528023,total,eurostat
LU,2016-01-01,1.109167554,total,eurostat
LV,2016-01-01,2.5836131780000002,total,eurostat
MT,2016-01-01,0.0,total,eurostat
NL,2016-01-01,46.786981874,total,eurostat
PL,2016-01-01,22.75835154,total,eurostat
PT,2016-01-01,4.226947826,total,eurostat
RO,2016-01-01,14.866956338000001,total,eurostat
SE,2016-01-01,1.8008347740000001,total,eurostat
SI,2016-01-01,1.161389818,total,eurostat
SK,2016-01-01,8.184450992,total,eurostat
AT,2016-02-01,9.403618634,total,eurostat
BE,2016-02-01,19.349459924,total,eurostat
BG,2016-02-01,3.27361373,total,eurostat
CY,2016-02-01,0.0,total,eurostat
CZ,2016-02-01,9.731118896,total,eurostat
DE,2016-02-01,106.602029726,total,eurostat
DK,2016-02-01,4.116947738,total,eurostat
EE,2016-02-01,0.65416719,total,eurostat
ES,2016-02-01,29.164189998,total,eurostat
EU27_2020,2016-02-01,432.38506813000004,total,eurostat
FI,2016-02-01,2.9150023320000003,total,eurostat
FR,2016-02-01,56.858101042,total,eurostat
GR,2016-02-01,2.985835722,total,eurostat
HR,2016-02-01,2.805002244,total,eurostat
HU,2016-02-01,11.412786908000001,total,eurostat
IE,2016-02-01,4.977226204,total,eurostat
IT,2016-02-01,79.523119174,total,eurostat
LT,2016-02-01,2.1486128300000003,total,eurostat
LU,2016-02-01,1.020000816,total,eurostat
LV,2016-02-01,1.391945558,total,eurostat
MT,2016-02-01,0.0,total,eurostat
NL,2016-02-01,42.205311542000004,total,eurostat
PL,2016-02-01,18.264736834,total,eurostat
PT,2016-02-01,3.6944474,total,eurostat
RO,2016-02-01,11.901953966,total,eurostat
SE,2016-02-01,1.350278858,total,eurostat
SI,2016-02-01,0.943611866,total,eurostat
SK,2016-02-01,5.691948998,total,eurostat
AT,2016-03-01,9.271674084,total,eurostat
BE,2016-03-01,19.290015432,total,eurostat
BG,2016-03-01,3.198058114,total,eurostat
CY,2016-03-01,0.0,total,eurostat
CZ,2016-03-01,9.795841170000001,total,eurostat
DE,2016-03-01,101.895081516,total,eurostat
DK,2016-03-01,3.987225412,total,eurostat
EE,2016-03-01,0.6319449500000001,total,eurostat
ES,2016-03-01,29.297523438000002,total,eurostat
EU27_2020,2016-03-01,398.685874504,total,eurostat
FI,2016-03-01,2.74166886,total,eurostat
FR,2016-03-01,57.10699013,total,eurostat
GR,2016-03-01,3.17361365,total,eurostat
HR,2016-03-01,2.960280146,total,eurostat
HU,2016-03-01,10.65417519,total,eurostat
IE,2016-03-01,4.818892744,total,eurostat
IT,2016-03-01,74.35839282,total,eurostat
LT,2016-03-01,2.401113032,total,eurostat
LU,2016-03-01,1.025834154,total,eurostat
LV,2016-03-01,1.471390066,total,eurostat
MT,2016-03-01,0.0,total,eurostat
NL,2016-03-01,18.862792868,total,eurostat
PL,2016-03-01,18.738070546,total,eurostat
PT,2016-03-01,4.094725498,total,eurostat
RO,2016-03-01,11.4027869,total,eurostat
SE,2016-03-01,1.096945322,total,eurostat
SI,2016-03-01,0.941945198,total,eurostat
SK,2016-03-01,5.468893264,total,eurostat
AT,2016-04-01,6.932227768000001,total,eurostat
BE,2016-04-01,14.479733806,total,eurostat
BG,2016-04-01,2.501113112,total,eurostat
CY,2016-04-01,0.0,total,eurostat
CZ,2016-04-01,6.670005336,total,eurostat
DE,2016-04-01,62.903105878000005,total,eurostat
DK,2016-04-01,3.1566691920000003,total,eurostat
EE,2016-04-01,0.43472257000000003,total,eurostat
ES,2016-04-01,25.22918685,total,eurostat
EU27_2020,2016-04-01,291.86356682400003,total,eurostat
FI,2016-04-01,1.9075015260000001,total,eurostat
FR,2016-04-01,39.131697972,total,eurostat
GR,2016-04-01,2.765835546,total,eurostat
HR,2016-04-01,2.101112792,total,eurostat
HU,2016-04-01,6.33889396,total,eurostat
IE,2016-04-01,4.810837182,total,eurostat
IT,2016-04-01,46.672537338000005,total,eurostat
LT,2016-04-01,1.830001464,total,eurostat
LU,2016-04-01,0.798333972,total,eurostat
LV,2016-04-01,0.9677785520000001,total,eurostat
MT,2016-04-01,0.0,total,eurostat
NL,2016-04-01,30.774746842000003,total,eurostat
PL,2016-04-01,15.216956618000001,total,eurostat
PT,2016-04-01,3.6944474,total,eurostat
RO,2016-04-01,8.24445104,total,eurostat
SE,2016-04-01,0.62083383,total,eurostat
SI,2016-04-01,0.6663894220000001,total,eurostat
SK,2016-04-01,3.014446856,total,eurostat
AT,2016-05-01,5.3611154,total,eurostat
BE,2016-05-01,10.093896964,total,eurostat
BG,2016-05-01,2.4961131080000003,total,eurostat
CY,2016-05-01,0.0,total,eurostat
CZ,2016-05-01,4.621670364,total,eurostat
DE,2016-05-01,57.111990134,total,eurostat
DK,2016-05-01,2.026112732,total,eurostat
EE,2016-05-01,0.2361113,total,eurostat
ES,2016-05-01,23.140296290000002,total,eurostat
EU27_2020,2016-05-01,240.232692186,total,eurostat
FI,2016-05-01,1.407223348,total,eurostat
FR,2016-05-01,25.584464912,total,eurostat
GR,2016-05-01,2.733057742,total,eurostat
HR,2016-05-01,2.101112792,total,eurostat
HU,2016-05-01,5.189448596,total,eurostat
IE,2016-05-01,4.306670112,total,eurostat
IT,2016-05-01,44.185590904,total,eurostat
LT,2016-05-01,1.751668068,total,eurostat
LU,2016-05-01,0.601111592,total,eurostat
LV,2016-05-01,0.615556048,total,eurostat
MT,2016-05-01,0.0,total,eurostat
NL,2016-05-01,21.621128408,total,eurostat
PL,2016-05-01,12.44028773,total,eurostat
PT,2016-05-01,3.823891948,total,eurostat
