country,year,energy_balance,value,unit,siec,frequency,dataset,source
AL,2022,DL,0.0,TJ_GCV,G3000,A,NRG_CB_GAS,eurostat
AL,2023,DL,0.0,TJ_GCV,G3000,A,NRG_CB_GAS,eurostat
AL,2024,DL,0.0,TJ_GCV,G3000,A,NRG_CB_GAS,eurostat
AL,2022,DL_NT,0.0,TJ_GCV,G3000,A,NRG_CB_GAS,eurostat
AL,2023,DL_NT,0.0,TJ_GCV,G3000,A,NRG_CB_GAS,eurostat
AL,2024,DL_NT,0.0,TJ_GCV,G3000,A,NRG_CB_GAS,eurostat
AL,1990,EXP,0.0,TJ_GCV,G3000,A,NRG_CB_GAS,eurostat
AL,1991,EXP,0.0,TJ_GCV,G3000,A,NRG_CB_GAS,eurostat
AL,1992,EXP,0.0,TJ_GCV,G3000,A,NRG_CB_GAS,eurostat
AL,1993,EXP,0.0,TJ_GCV,G3000,A,NRG_CB_GAS,eurostat
AL,1994,EXP,0.0,TJ_GCV,G3000,A,NRG_CB_GAS,eurostat
AL,1995,EXP,0.0,TJ_GCV,G3000,A,NRG_CB_GAS,eurostat
AL,1996,EXP,0.0,TJ_GCV,G3000,A,NRG_CB_GAS,eurostat
AL,1997,EXP,0.0,TJ_GCV,G3000,A,NRG_CB_GAS,eurostat
AL,1998,EXP,0.0,TJ_GCV,G3000,A,NRG_CB_GAS,eurostat
AL,1999,EXP,0.0,TJ_GCV,G3000,A,NRG_CB_GAS,eurostat
AL,2000,EXP,0.0,TJ_GCV,G3000,A,NRG_CB_GAS,eurostat
AL,2001,EXP,0.0,TJ_GCV,G3000,A,NRG_CB_GAS,eurostat
AL,2002,EXP,0.0,TJ_GCV,G3000,A,NRG_CB_GAS,eurostat
AL,2003,EXP,0.0,TJ_GCV,G3000,A,NRG_CB_GAS,eurostat
AL,2004,EXP,0.0,TJ_GCV,G3000,A,NRG_CB_GAS,eurostat
AL,2005,EXP,0.0,TJ_GCV,G3000,A,NRG_CB_GAS,eurostat
AL,2006,EXP,0.0,TJ_GCV,G3000,A,NRG_CB_GAS,eurostat
AL,2007,EXP,0.0,TJ_GCV,G3000,A,NRG_CB_GAS,eurostat
AL,2008,EXP,0.0,TJ_GCV,G3000,A,NRG_CB_GAS,eurostat
AL,2009,EXP,0.0,TJ_GCV,G3000,A,NRG_CB_GAS,eurostat
AL,2010,EXP,0.0,TJ_GCV,G3000,A,NRG_CB_GAS,eurostat
AL,2011,EXP,0.0,TJ_GCV,G3000,A,NRG_CB_GAS,eurostat
AL,2012,EXP,0.0,TJ_GCV,G3000,A,NRG_CB_GAS,eurostat
AL,2013,EXP,0.0,TJ_GCV,G3000,A,NRG_CB_GAS,eurostat
AL,2014,EXP,0.0,TJ_GCV,G3000,A,NRG_CB_GAS,eurostat
AL,2015,EXP,0.0,TJ_GCV,G3000,A,NRG_CB_GAS,eurostat
AL,2016,EXP,0.0,TJ_GCV,G3000,A,NRG_CB_GAS,eurostat
AL,2017,EXP,0.0,TJ_GCV,G3000,A,NRG_CB_GAS,eurostat
AL,2018,EXP,0.0,TJ_GCV,G3000,A,NRG_CB_GAS,eurostat
AL,2019,EXP,0.0,TJ_GCV,G3000,A,NRG_CB_GAS,eurostat
AL,2020,EXP,0.0,TJ_GCV,G3000,A,NRG_CB_GAS,eurostat
AL,2021,EXP,0.0,TJ_GCV,G3000,A,NRG_CB_GAS,eurostat
AL,2022,EXP,0.0,TJ_GCV,G3000,A,NRG_CB_GAS,eurostat
AL,2023,EXP,0.0,TJ_GCV,G3000,A,NRG_CB_GAS,eurostat
AL,2024,EXP,0.0,TJ_GCV,G3000,A,NRG_CB_GAS,eurostat
AL,1990,FC,9453.0,TJ_GCV,G3000,A,NRG_CB_GAS,eurostat
AL,1991,FC,5500.0,TJ_GCV,G3000,A,NRG_CB_GAS,eurostat
AL,1992,FC,3984.0,TJ_GCV,G3000,A,NRG_CB_GAS,eurostat
AL,1993,FC,3184.0,TJ_GCV,G3000,A,NRG_CB_GAS,eurostat
AL,1994,FC,2027.0,TJ_GCV,G3000,A,NRG_CB_GAS,eurostat
AL,1995,FC,1077.0,TJ_GCV,G3000,A,NRG_CB_GAS,eurostat
AL,1996,FC,894.0,TJ_GCV,G3000,A,NRG_CB_GAS,eurostat
AL,1997,FC,65.0,TJ_GCV,G3000,A,NRG_CB_GAS,eurostat
AL,1998,FC,36.0,TJ_GCV,G3000,A,NRG_CB_GAS,eurostat
AL,1999,FC,128.0,TJ_GCV,G3000,A,NRG_CB_GAS,eurostat
AL,2000,FC,42.0,TJ_GCV,G3000,A,NRG_CB_GAS,eurostat
AL,2001,FC,38.0,TJ_GCV,G3000,A,NRG_CB_GAS,eurostat
AL,2002,FC,0.0,TJ_GCV,G3000,A,NRG_CB_GAS,eurostat
AL,2003,FC,0.0,TJ_GCV,G3000,A,NRG_CB_GAS,eurostat
