country,year,energy_balance,energy_balance_label,value,unit,siec,frequency,dataset,source
EU27_2020,2024,DL,Distribution losses,26676.101,TJ_GCV,G3000,A,NRG_CB_GAS,eurostat
EU27_2020,2024,DL_NT,Distribution losses - non-technical,0.0,TJ_GCV,G3000,A,NRG_CB_GAS,eurostat
EU27_2020,2024,EXP,Exports,1994716.801,TJ_GCV,G3000,A,NRG_CB_GAS,eurostat
EU27_2020,2024,FC,Final consumption,8401152.352,TJ_GCV,G3000,A,NRG_CB_GAS,eurostat
EU27_2020,2024,FC_E,Final consumption - energy use,8006963.452,TJ_GCV,G3000,A,NRG_CB_GAS,eurostat
EU27_2020,2024,FC_IND_CON_E,Final consumption - industry sector - construction - energy use,99853.213,TJ_GCV,G3000,A,NRG_CB_GAS,eurostat
EU27_2020,2024,FC_IND_CON_NE,Final consumption - industry sector - construction - non-energy use,0.0,TJ_GCV,G3000,A,NRG_CB_GAS,eurostat
EU27_2020,2024,FC_IND_CPC_E,Final consumption - industry sector - chemical and petrochemical - energy use,742901.231,TJ_GCV,G3000,A,NRG_CB_GAS,eurostat
EU27_2020,2024,FC_IND_CPC_NE,Final consumption - industry sector - chemical and petrochemical - non-energy use,394188.9,TJ_GCV,G3000,A,NRG_CB_GAS,eurostat
EU27_2020,2024,FC_IND_E,Final consumption - industry sector - energy use,3173167.05,TJ_GCV,G3000,A,NRG_CB_GAS,eurostat
EU27_2020,2024,FC_IND_FBT_E,"Final consumption - industry sector - food, beverages and tobacco - energy use",591817.782,TJ_GCV,G3000,A,NRG_CB_GAS,eurostat
EU27_2020,2024,FC_IND_FBT_NE,"Final consumption - industry sector - food, beverages and tobacco - non-energy use",0.0,TJ_GCV,G3000,A,NRG_CB_GAS,eurostat
EU27_2020,2024,FC_IND_IS_E,Final consumption - industry sector - iron and steel - energy use,305487.063,TJ_GCV,G3000,A,NRG_CB_GAS,eurostat
EU27_2020,2024,FC_IND_IS_NE,Final consumption - industry sector - iron and steel - non-energy use,0.0,TJ_GCV,G3000,A,NRG_CB_GAS,eurostat
EU27_2020,2024,FC_IND_MAC_E,Final consumption - industry sector - machinery - energy use,213818.732,TJ_GCV,G3000,A,NRG_CB_GAS,eurostat
EU27_2020,2024,FC_IND_MAC_NE,Final consumption - industry sector - machinery - non-energy use,0.0,TJ_GCV,G3000,A,NRG_CB_GAS,eurostat
EU27_2020,2024,FC_IND_MQ_E,Final consumption - industry sector - mining and quarrying - energy use,29284.854,TJ_GCV,G3000,A,NRG_CB_GAS,eurostat
EU27_2020,2024,FC_IND_MQ_NE,Final consumption - industry sector - mining and quarrying - non-energy use,0.0,TJ_GCV,G3000,A,NRG_CB_GAS,eurostat
EU27_2020,2024,FC_IND_NE,Final consumption - industry sector - non-energy use,394188.9,TJ_GCV,G3000,A,NRG_CB_GAS,eurostat
