country,year,energy_balance,energy_balance_label,level1,level2,value,include_in_demand_view,demand_group,plot_family,level,parent_code_guess,parent_label_guess,notes
EU27_2020,2024,ID,Inland demand,demand,demand,12926091.07,TRUE,reference_totals,totals,0,,,
EU27_2020,2024,IC_CAL,Inland consumption - calculated,,,12850052.48,TRUE,reference_totals,totals,1,ID,Inland demand,Reference total close to inland demand; likely avoid plotting alongside ID to prevent duplication.
EU27_2020,2024,IC_OBS,Inland consumption - observed,,,12926091.09,TRUE,reference_totals,totals,1,ID,Inland demand,Reference total close to inland demand; likely avoid plotting alongside ID to prevent duplication.
EU27_2020,2024,FC,Final consumption,,,8401152.352,TRUE,final_consumption,final_consumption,1,ID,Inland demand,
EU27_2020,2024,FC_E,Final consumption - energy use,fce,,8006963.452,TRUE,final_consumption,final_consumption,2,FC,Final consumption,
EU27_2020,2024,FC_NE,Final consumption - non-energy use,fcne,,394188.9,TRUE,final_consumption,final_consumption,2,FC,Final consumption,
EU27_2020,2024,FC_IND_E,Final consumption - industry sector - energy use,,fce_industry,3173167.05,TRUE,final_consumption,industry,3,FC_E,Final consumption - energy use,
EU27_2020,2024,FC_IND_NE,Final consumption - industry sector - non-energy use,,fcne_industry,394188.9,TRUE,final_consumption,industry,3,FC_NE,Final consumption - non-energy use,
EU27_2020,2024,FC_OTH_E,Final consumption - other sectors - energy use,,fce_other,160264.65300000017,TRUE,final_consumption,other_sectors,3,FC_E,Final consumption - energy use,Level2 reconciliation: value replaced with residual FC_OTH_E - FC_OTH_HH_E - FC_OTH_CP_E.
EU27_2020,2024,FC_OTH_NE,Final consumption - other sectors - non-energy use,,,0,TRUE,final_consumption,other_sectors,3,FC_NE,Final consumption - non-energy use,
EU27_2020,2024,FC_TRA_E,Final consumption - transport sector - energy use,,fce_transport,148789.469,TRUE,final_consumption,transport,3,FC_E,Final consumption - energy use,
EU27_2020,2024,FC_TRA_NE,Final consumption - transport sector - non-energy use,,,0,TRUE,final_consumption,transport,3,FC_NE,Final consumption - non-energy use,
EU27_2020,2024,FC_IND_CON_E,Final consumption - industry sector - construction - energy use,,,99853.213,TRUE,final_consumption,industry,4,FC_IND_E,Final consumption - industry sector - energy use,
EU27_2020,2024,FC_IND_CON_NE,Final consumption - industry sector - construction - non-energy use,,,0,TRUE,final_consumption,industry,4,FC_IND_NE,Final consumption - industry sector - non-energy use,
EU27_2020,2024,FC_IND_CPC_E,Final consumption - industry sector - chemical and petrochemical - energy use,,,742901.231,TRUE,final_consumption,industry,4,FC_IND_E,Final consumption - industry sector - energy use,
EU27_2020,2024,FC_IND_CPC_NE,Final consumption - industry sector - chemical and petrochemical - non-energy use,,,394188.9,TRUE,final_consumption,industry,4,FC_IND_NE,Final consumption - industry sector - non-energy use,
EU27_2020,2024,FC_IND_FBT_E,"Final consumption - industry sector - food, beverages and tobacco - energy use",,,591817.782,TRUE,final_consumption,industry,4,FC_IND_E,Final consumption - industry sector - energy use,
EU27_2020,2024,FC_IND_FBT_NE,"Final consumption - industry sector - food, beverages and tobacco - non-energy use",,,0,TRUE,final_consumption,industry,4,FC_IND_NE,Final consumption - industry sector - non-energy use,
EU27_2020,2024,FC_IND_IS_E,Final consumption - industry sector - iron and steel - energy use,,,305487.063,TRUE,final_consumption,industry,4,FC_IND_E,Final consumption - industry sector - energy use,
EU27_2020,2024,FC_IND_IS_NE,Final consumption - industry sector - iron and steel - non-energy use,,,0,TRUE,final_consumption,industry,4,FC_IND_NE,Final consumption - industry sector - non-energy use,
EU27_2020,2024,FC_IND_MAC_E,Final consumption - industry sector - machinery - energy use,,,213818.732,TRUE,final_consumption,industry,4,FC_IND_E,Final consumption - industry sector - energy use,
EU27_2020,2024,FC_IND_MAC_NE,Final consumption - industry sector - machinery - non-energy use,,,0,TRUE,final_consumption,industry,4,FC_IND_NE,Final consumption - industry sector - non-energy use,
EU27_2020,2024,FC_IND_MQ_E,Final consumption - industry sector - mining and quarrying - energy use,,,29284.854,TRUE,final_consumption,industry,4,FC_IND_E,Final consumption - industry sector - energy use,
EU27_2020,2024,FC_IND_MQ_NE,Final consumption - industry sector - mining and quarrying - non-energy use,,,0,TRUE,final_consumption,industry,4,FC_IND_NE,Final consumption - industry sector - non-energy use,
EU27_2020,2024,FC_IND_NFM_E,Final consumption - industry sector - non-ferrous metals - energy use,,,142837.895,TRUE,final_consumption,industry,4,FC_IND_E,Final consumption - industry sector - energy use,
EU27_2020,2024,FC_IND_NFM_NE,Final consumption - industry sector - non-ferrous metals - non-energy use,,,0,TRUE,final_consumption,industry,4,FC_IND_NE,Final consumption - industry sector - non-energy use,
EU27_2020,2024,FC_IND_NMM_E,Final consumption - industry sector - non-metallic minerals - energy use,,,506844.836,TRUE,final_consumption,industry,4,FC_IND_E,Final consumption - industry sector - energy use,
EU27_2020,2024,FC_IND_NMM_NE,Final consumption - industry sector - non-metallic minerals - non-energy use,,,0,TRUE,final_consumption,industry,4,FC_IND_NE,Final consumption - industry sector - non-energy use,
EU27_2020,2024,FC_IND_NSP_E,Final consumption - industry sector - not elsewhere specified - energy use,,,81807.248,TRUE,final_consumption,industry,4,FC_IND_E,Final consumption - industry sector - energy use,
EU27_2020,2024,FC_IND_NSP_NE,Final consumption - industry sector - not elsewhere specified - non-energy use,,,0,TRUE,final_consumption,industry,4,FC_IND_NE,Final consumption - industry sector - non-energy use,
EU27_2020,2024,FC_IND_PPP_E,"Final consumption - industry sector - paper, pulp and printing - energy use",,,276558.111,TRUE,final_consumption,industry,4,FC_IND_E,Final consumption - industry sector - energy use,
EU27_2020,2024,FC_IND_PPP_NE,"Final consumption - industry sector - paper, pulp and printing - non-energy use",,,0,TRUE,final_consumption,industry,4,FC_IND_NE,Final consumption - industry sector - non-energy use,
EU27_2020,2024,FC_IND_TE_E,Final consumption - industry sector - transport equipment - energy use,,,101001.951,TRUE,final_consumption,industry,4,FC_IND_E,Final consumption - industry sector - energy use,
EU27_2020,2024,FC_IND_TE_NE,Final consumption - industry sector - transport equipment - non-energy use,,,0,TRUE,final_consumption,industry,4,FC_IND_NE,Final consumption - industry sector - non-energy use,
EU27_2020,2024,FC_IND_TL_E,Final consumption - industry sector - textile and leather - energy use,,,61496.236,TRUE,final_consumption,industry,4,FC_IND_E,Final consumption - industry sector - energy use,
EU27_2020,2024,FC_IND_TL_NE,Final consumption - industry sector - textile and leather - non-energy use,,,0,TRUE,final_consumption,industry,4,FC_IND_NE,Final consumption - industry sector - non-energy use,
EU27_2020,2024,FC_IND_WP_E,Final consumption - industry sector - wood and wood products - energy use,,,19457.897,TRUE,final_consumption,industry,4,FC_IND_E,Final consumption - industry sector - energy use,
EU27_2020,2024,FC_IND_WP_NE,Final consumption - industry sector - wood and wood products - non-energy use,,,0,TRUE,final_consumption,industry,4,FC_IND_NE,Final consumption - industry sector - non-energy use,
EU27_2020,2024,FC_OTH_AF_E,Final consumption - other sectors - agriculture and forestry - energy use,,,154350.017,TRUE,final_consumption,agriculture_forestry_fishing,4,FC_OTH_E,Final consumption - other sectors - energy use,
EU27_2020,2024,FC_OTH_AF_NE,Final consumption - other sectors - agriculture and forestry - non-energy use,,,0,TRUE,final_consumption,agriculture_forestry_fishing,4,FC_OTH_NE,Final consumption - other sectors - non-energy use,
EU27_2020,2024,FC_OTH_CP_E,Final consumption - other sectors - commercial and public services - energy use,,fce_commercial,1400857.331,TRUE,final_consumption,commercial_public,4,FC_OTH_E,Final consumption - other sectors - energy use,
