Date;Area;Total_consumption;Consumption_industrial_customers_except_HMS;Consumption_public_distribution;Consumption_HMS_customers;Consumption_PIRR;Forecast_estimated_on_D-5_Forecast_GRTgaz_total;Forecast_estimated_on_D-4_Forecast_GRTgaz_total;Forecast_estimated_on_D-3_Forecast_GRTgaz_total;Forecast_estimated_on_D-2_Forecast_GRTgaz_total;Forecast_estimated_on_D-1_before_5PM_Forecast_GRTgaz_total;Forecast_estimated_on_D-1_after_5PM_Forecast_GRTgaz_total;Forecast_estimated_on_D_before_3PM_Forecast_GRTgaz_total;Forecast_estimated_on_D_after_3PM_Forecast_GRTgaz_total;Forecast_GRTgaz_1_indus_except_HMS;Forecast_GRTgaz_2_indus_except_HMS;Forecast_GRTgaz_3_indus_except_HMS;Forecast_estimated_on_D-2_indus_except_HMS;Forecast_estimated_on_D-1_before_5PM_indus_except_HMS;Forecast_estimated_on_D-1_after_5PM_indus_except_HMS;Forecast_estimated_on_D_before_3PM_indus_except_HMS;Forecast_GRTgaz_8_indus_except_HMS;Forecast_estimated_on_D-5_public_distribution;Forecast_estimated_on_D-4_public_distribution;Forecast_estimated_on_D-3_public_distribution;Forecast_estimated_on_D-2_public_distribution;Forecast_estimated_on_D-1_before_5PM_public_distribution;Forecast_estimated_on_D-1_after_5PM_public_distribution;Forecast_estimated_on_D_before_3PM_public_distribution;Forecast_estimated_on_D_after_3PM_public_distribution;Forecast_estimated_on_D-5_HMS;Forecast_estimated_on_D-4_HMS;Forecast_estimated_on_D-3_HMS;Forecast_estimated_on_D-2_HMS;Forecast_estimated_on_D-1_before_5PM_HMS;Forecast_estimated_on_D-1_after_5PM_HMS;Forecast_estimated_on_D_before_3PM_HMS;Forecast_estimated_on_D_after_3PM_HMS;Forecast_estimated_on_D-5_PIRR;Forecast_estimated_on_D-4_PIRR;Forecast_estimated_on_D-3_PIRR;Forecast_estimated_on_D-2_PIRR;Forecast_estimated_on_D-1_before_5PM_PIRR;Forecast_estimated_on_D-1_after_5PM_PIRR;Forecast_estimated_on_D_before_3PM_PIRR;Forecast_estimated_on_D_after_3PM_PIRR;Forecast_shippers_D-1_02PM;Forecast_shippers_D-1_04PM;Forecast_shippers_D-1_06PM;Forecast_shippers_D-1_08PM;Forecast_shippers_D-1_09PM;Forecast_shippers_D-1_10PM;Forecast_shippers_D-1_11PM;Forecast_shippers_D-1_00AM;Forecast_shippers_D-1_01AM;Forecast_shippers_D-1_02AM;Forecast_shippers_D-1_03AM;Forecast_shippers_D_04AM;Forecast_shippers_D_05AM;Forecast_shippers_D_06AM;Forecast_shippers_D_07AM;Forecast_shippers_D_08AM;Forecast_shippers_D_09AM;Forecast_shippers_D_10AM;Forecast_shippers_D_11AM;Forecast_shippers_D_12PM;Forecast_shippers_D_13PM;Forecast_shippers_D_02PM;Forecast_shippers_D_03PM;Forecast_shippers_D_04PM;Forecast_shippers_D_05PM;Forecast_shippers_D_06PM;Forecast_shippers_D_07PM;Forecast_shippers_D_08PM;Forecast_shippers_D_09PM;Forecast_shippers_D_10PM;Forecast_shippers_D_11PM;Forecast_shippers_D_12AM;Forecast_shippers_D_01AM;Forecast_shippers_D_02AM;Forecast_shippers_D_03AM;Average_temperature
09/11/2012;"All areas";1238438187;356970376;824905086;48207193;8355532;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1083729496;1077475653;1145193815;1155989984;1155989984;1155989984;1155989984;1175049643;1175049643;1173518802;1173518802;1173518802;1173518802;1173518802;1173518802;1173518802;1173518802;1172911913;1172883545;1178684070;1185823091;1185944708;1185692497;1187140967;1184260967;1184253974;1195801142;1196044216;1196261283;1196261283;1196261283;1196261283;1196146072;1196146072;1196146072;8.3
24/07/2012;"All areas";398940831;211747189;177508642;5611490;4073510;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;410456174;435769057;427215326;428111139;428111139;428124939;428124939;428568929;428568929;428568929;428568929;428568929;428568929;428568929;428568929;428568929;428568929;428568929;428197263;428197263;429875370;429875370;429751581;432768423;433807603;433585339;407961283;407784753;407784753;407784753;407784753;410765829;410765829;410765829;410765829;23.3
29/07/2012;"All areas";305593334;170837650;119350668;11679406;3725610;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;305429515;305380955;304226639;303382698;303382698;303382698;303382698;303382698;303382698;303382698;303382698;303382698;303382698;303382698;303382698;303382698;303382698;303382698;303382698;301189766;301189766;301189766;301189766;301189766;301189716;299766398;299765318;302007948;302803010;302803010;302803010;303906900;303906900;304110715;304110715;15.7
31/07/2012;"All areas";369550073;184136608;168916209;12758238;3739018;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;390713470;391951016;396270355;390597099;390597099;390597099;390597099;390597099;390350165;382579150;382579150;382579150;382579150;382579150;382579150;382579150;382579150;381238511;381064903;381064903;378887620;378887620;379305182;378942312;378524952;379790783;379790783;379782782;366148120;366148120;366148120;365676074;365511720;365511720;365511720;18.1
01/06/2012;"All areas";456394193;221001198;201584546;31176524;2631925;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;201296654;203088188;234165015;235971134;235926722;235926722;235926722;235926722;235926722;235926722;235926722;235790892;235790892;235790892;239123892;239123892;239123892;235143892;253069639;236147464;236102390;235952390;235733903;437016475;;;;447671758;449180939;449180939;449096291;449096291;449164924;449224035;449224035;17.6
23/08/2012;"All areas";442110009;197207703;157784969;78987128;8130209;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;352386757;381609846;437023722;441223339;441223339;441223339;441223339;441223339;441223339;441223339;441223339;441223339;441223339;441223339;441223339;441223339;441223339;442413339;442431019;437236286;437286286;440624017;437619132;437617732;440137685;441399352;437360502;437360502;434646502;439605032;439605032;439537376;439859447;439859447;439859447;19.4
07/07/2012;"All areas";357676668;208276978;144565877;766092;4067721;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;318230740;329822998;329586288;332723505;332723505;332723505;333035363;333035363;333035363;333035363;333035363;333035363;333035363;333035363;333035363;333035363;333035363;333035363;333035363;334731799;337090044;337090044;337167964;337167964;337167964;345191968;345188602;345671215;345671215;345671215;345671215;345843489;345843489;345843489;345843489;17.7
06/06/2012;"All areas";525493234;227097042;242100532;45060086;11235574;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;470487032;478263654;514236944;492629681;492629681;492629681;492629681;492629681;492629681;492629681;492629681;492629681;492629681;492629681;492629681;492629681;492629681;492624981;496216707;493921872;494014769;493964769;494475783;501749007;502440940;494064893;493811173;499233568;499388581;501836836;501836836;501836836;502535812;502535812;502535812;16.3
17/07/2012;"All areas";417642164;211131066;201871968;572599;4066531;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;399480355;405623628;408919817;425505617;425505617;430809859;430708243;430708243;430708243;430708243;430708243;430708243;430708243;430708243;430708243;430708243;430708243;431465305;431465525;431465525;432177891;426991248;427223772;427183312;419475236;418814132;420169954;420169954;420821676;420821676;420821676;420821676;420233659;420233659;420233659;19.4
20/08/2012;"All areas";362198767;183898042;143655997;26552625;8092103;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;403131369;403144969;418463338;393006643;393006643;393006643;393006643;396339643;396239635;396239635;396239635;396239635;396239635;396239635;396239635;396239635;396239635;396239635;397691571;397691571;399157616;395337372;396223674;393099224;387911358;381673108;381488108;381425608;382443077;382443077;382443077;383408062;383408062;383408062;383408062;22.9
