Date;Area;Total_delivered_quantity;Consumption_industrial_customers_except_HMS;Delivered_quantity_public_distribution;Consumption_HMS_customers;Delivered_quantity_PIRR;Delivery_Forecast_estimated_on_D-5_GRTgaz_total;Delivery_Forecast_estimated_on_D-4_GRTgaz_total;Delivery_Forecast_estimated_on_D-3_GRTgaz_total;Delivery_Forecast_estimated_on_D-2_GRTgaz_total;Delivery_Forecast_estimated_on_D-1_before_5PM_GRTgaz_total;Delivery_Forecast_estimated_on_D-1_after_5PM_GRTgaz_total;Delivery_Forecast_estimated_on_D_before_3PM_GRTgaz_total;Delivery_Forecast_estimated_on_D_after_3PM_GRTgaz_total;Forecast_GRTgaz_1_indus_except_HMS;Forecast_GRTgaz_2_indus_except_HMS;Forecast_GRTgaz_3_indus_except_HMS;Forecast_estimated_on_D-2_indus_except_HMS;Forecast_estimated_on_D-1_before_5PM_indus_except_HMS;Forecast_estimated_on_D-1_after_5PM_indus_except_HMS;Forecast_estimated_on_D_before_3PM_indus_except_HMS;Forecast_GRTgaz_8_indus_except_HMS;Delivery_Forecast_estimated_on_D-5_public_distribution;Delivery_Forecast_estimated_on_D-4_public_distribution;Delivery_Forecast_estimated_on_D-3_public_distribution;Delivery_Forecast_estimated_on_D-2_public_distribution;Delivery_Forecast_estimated_on_D-1_before_5PM_public_distribution;Delivery_Forecast_estimated_on_D-1_after_5PM_public_distribution;Delivery_Forecast_estimated_on_D_before_3PM_public_distribution;Delivery_Forecast_estimated_on_D_after_3PM_public_distribution;Forecast_estimated_on_D-5_HMS;Forecast_estimated_on_D-4_HMS;Forecast_estimated_on_D-3_HMS;Forecast_estimated_on_D-2_HMS;Forecast_estimated_on_D-1_before_5PM_HMS;Forecast_estimated_on_D-1_after_5PM_HMS;Forecast_estimated_on_D_before_3PM_HMS;Forecast_estimated_on_D_after_3PM_HMS;Delivery_Forecast_estimated_on_D-5_PIRR;Delivery_Forecast_estimated_on_D-4_PIRR;Delivery_Forecast_estimated_on_D-3_PIRR;Delivery_Forecast_estimated_on_D-2_PIRR;Delivery_Forecast_estimated_on_D-1_before_5PM_PIRR;Delivery_Forecast_estimated_on_D-1_after_5PM_PIRR;Delivery_Forecast_estimated_on_D_before_3PM_PIRR;Delivery_Forecast_estimated_on_D_after_3PM_PIRR;Delivery_Forecast_shippers_D-1_02PM;Delivery_Forecast_shippers_D-1_04PM;Delivery_Forecast_shippers_D-1_06PM;Delivery_Forecast_shippers_D-1_08PM;Delivery_Forecast_shippers_D-1_09PM;Delivery_Forecast_shippers_D-1_10PM;Delivery_Forecast_shippers_D-1_11PM;Delivery_Forecast_shippers_D-1_00AM;Delivery_Forecast_shippers_D-1_01AM;Delivery_Forecast_shippers_D-1_02AM;Delivery_Forecast_shippers_D-1_03AM;Delivery_Forecast_shippers_D_04AM;Delivery_Forecast_shippers_D_05AM;Delivery_Forecast_shippers_D_06AM;Delivery_Forecast_shippers_D_07AM;Delivery_Forecast_shippers_D_08AM;Delivery_Forecast_shippers_D_09AM;Delivery_Forecast_shippers_D_10AM;Delivery_Forecast_shippers_D_11AM;Delivery_Forecast_shippers_D_12PM;Delivery_Forecast_shippers_D_13PM;Delivery_Forecast_shippers_D_02PM;Delivery_Forecast_shippers_D_03PM;Delivery_Forecast_shippers_D_04PM;Delivery_Forecast_shippers_D_05PM;Delivery_Forecast_shippers_D_06PM;Delivery_Forecast_shippers_D_07PM;Delivery_Forecast_shippers_D_08PM;Delivery_Forecast_shippers_D_09PM;Delivery_Forecast_shippers_D_10PM;Delivery_Forecast_shippers_D_11PM;Delivery_Forecast_shippers_D_12AM;Delivery_Forecast_shippers_D_01AM;Delivery_Forecast_shippers_D_02AM;Delivery_Forecast_shippers_D_03AM;Average_temperature
01/01/2024;"North L";;;;;;81249626;77184010;75662541;71316090;66778825;66778827;74939752;73610741;9279662;8993202;8967617;8780722;9146920;9146920;9185833;8931543;71969964;68190808;66694924;62535368;57631905;57631907;65753919;64679198;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
02/01/2024;"North L";;;;;;88891347;79912958;71114822;67078831;73993201;73993198;70494727;71483452;10826393;10347805;9993271;10153293;10851251;10851250;9842182;10505387;78064954;69565153;61121551;56925538;63141950;63141948;60652545;60978065;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
03/01/2024;"North L";;;;;;81670018;73127737;73692803;75152259;77921208;77921211;75154017;75617865;10883234;11058997;10513449;11223237;10852711;10852712;11434040;12506353;70786784;62068740;63179354;63929022;67068497;67068499;63719977;63111512;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
04/01/2024;"North L";;;;;;79264389;77140536;84125765;82943434;81432160;81432163;79021648;78056172;11729398;11223729;11665599;10709171;12042620;12042620;12343461;12965972;67534991;65916807;72460166;72234263;69389540;69389543;66678187;65090200;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
05/01/2024;"North L";;;;;;85377904;84827016;85317386;85988421;84623454;84623446;86697871;90182859;11858258;10623150;10632705;10469946;12218446;12218446;12574115;12923297;73519646;74203866;74684681;75518475;72405008;72405000;74123756;77259562;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
06/01/2024;"North L";;;;;;85906729;85878522;88760537;93465878;92188947;92188952;93361209;90360263;10175431;9334604;9487858;11252433;11424587;11424588;11818227;12212347;75731298;76543918;79272679;82213445;80764360;80764364;81542982;78147916;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
07/01/2024;"North L";;;;;;99537636;109038397;112043928;111589222;111821986;111821983;112138531;112877287;9840771;12000501;14490482;12744583;13242032;13242031;13451551;13483010;89696865;97037896;97553446;98844639;98579954;98579952;98686980;99394277;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
08/01/2024;"North L";;;;;;124131151;129849316;127281494;129464089;129244258;129244252;140830962;146444407;14072762;17413296;16086273;15886869;16812692;16812690;17850659;16437097;110058389;112436020;111195221;113577220;112431566;112431562;122980303;130007310;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
09/01/2024;"North L";;;;;;135701758;135539730;133625354;137325104;142779544;142779551;146642844;155253546;18992855;17540991;17231444;18716326;19800519;19800523;17271285;17491708;116708903;117998739;116393910;118608778;122979025;122979028;129371559;137761838;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10/01/2024;"North L";;;;;;136771416;133073008;134785104;142093089;142286773;142286771;150711601;158734697;17310752;15557424;17819731;18751446;19110659;19110661;19900651;18553373;119460664;117515584;116965373;123341643;123176114;123176110;130810950;140181324;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11/01/2024;"North L";;;;;;126639378;126383949;132111463;131243378;143177423;143177432;147345151;142669636;12628505;13937545;14591787;16099921;22990135;22990134;20899748;18946651;114010873;112446404;117519676;115143457;120187288;120187298;126445403;123722985;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12/01/2024;"North L";;;;;;121266501;122339674;114522572;119270049;127637201;127637201;122069992;118057493;11751963;10904710;12357625;14106592;21071045;21071047;16042216;15731299;109514538;111434964;102164947;105163457;106566156;106566154;106027776;102326194;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13/01/2024;"North L";;;;;;106067413;100237898;102498729;114141171;112883548;112883547;112566596;112813162;7051913;9774666;9565610;17235711;14251319;14251320;14494681;14819924;99015500;90463232;92933119;96905460;98632229;98632227;98071915;97993238;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14/01/2024;"North L";;;;;;102999876;106950310;115752570;111459988;117069779;117069781;122642725;118899992;11264042;10598539;17100932;13084857;14716268;14716268;14406212;15407304;91735834;96351771;98651638;98375131;102353511;102353513;108236513;103492688;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
