country,date,demand,type
AT,2018-12-31,1282800.0,power
RO,2018-12-31,1472000.0,power
ES,2018-12-31,5601000.0,power
PL,2018-12-31,932800.0,power
DE,2018-12-31,3361625.0,power
SK,2018-12-31,181600.0,power
HU,2018-12-31,736900.0,power
LU,2018-12-31,8650.0,power
BG,2018-12-31,295000.0,power
IT,2018-12-31,8053000.0,power
HR,2018-12-31,207400.0,power
GR,2018-12-31,779000.0,power
BE,2018-12-31,1920300.0,power
IE,2018-12-31,674900.0,power
FI,2018-12-31,547600.0,power
PT,2018-12-31,855200.0,power
CZ,2018-12-31,241000.0,power
NL,2018-12-31,4245150.0,power
SI,2018-12-31,35100.0,power
DK,2018-12-31,104500.0,power
EE,2018-12-31,1000.0,power
UK,2018-12-31,6932800.0,power
FR,2018-12-31,2722000.0,power
LV,2018-12-31,1000.0,power
LT,2018-12-31,43900.0,power
SE,2018-12-31,0.0,power
LT,2019-01-01,1056300.0,power
FR,2019-01-01,67477000.0,power
AT,2019-01-01,12881100.0,power
FI,2019-01-01,14802000.0,power
BG,2019-01-01,7078000.0,power
PL,2019-01-01,20652200.0,power
UK,2019-01-01,280329100.0,power
GR,2019-01-01,31435000.0,power
IE,2019-01-01,22310100.0,power
SE,2019-01-01,0.0,power
NL,2019-01-01,107051475.0,power
LU,2019-01-01,951700.0,power
PT,2019-01-01,22778300.0,power
HU,2019-01-01,15700900.0,power
EE,2019-01-01,24000.0,power
IT,2019-01-01,169310000.0,power
RO,2019-01-01,33029000.0,power
DE,2019-01-01,69879250.0,power
ES,2019-01-01,153026000.0,power
SK,2019-01-01,4142300.0,power
BE,2019-01-01,44956700.0,power
LV,2019-01-01,16000.0,power
DK,2019-01-01,2512000.0,power
HR,2019-01-01,5112000.0,power
CZ,2019-01-01,6492000.0,power
SI,2019-01-01,1106500.0,power
GR,2019-01-02,59326000.0,power
DE,2019-01-02,114116800.0,power
SE,2019-01-02,0.0,power
HR,2019-01-02,5127500.0,power
CZ,2019-01-02,15567700.0,power
IT,2019-01-02,267591000.0,power
LV,2019-01-02,6487000.0,power
IE,2019-01-02,24834400.0,power
AT,2019-01-02,40819600.0,power
LU,2019-01-02,961800.0,power
HU,2019-01-02,18472075.0,power
LT,2019-01-02,983800.0,power
BG,2019-01-02,7357000.0,power
RO,2019-01-02,39791000.0,power
UK,2019-01-02,488041900.0,power
NL,2019-01-02,126489700.0,power
DK,2019-01-02,9849500.0,power
SK,2019-01-02,4442200.0,power
PL,2019-01-02,26626100.0,power
SI,2019-01-02,1125200.0,power
FI,2019-01-02,22877500.0,power
BE,2019-01-02,101982700.0,power
EE,2019-01-02,42700.0,power
ES,2019-01-02,161404000.0,power
FR,2019-01-02,148704000.0,power
PT,2019-01-02,32285600.0,power
UK,2019-01-03,544106300.0,power
BE,2019-01-03,100043600.0,power
GR,2019-01-03,75522000.0,power
EE,2019-01-03,42700.0,power
FR,2019-01-03,166586000.0,power
FI,2019-01-03,25383600.0,power
HR,2019-01-03,6223600.0,power
AT,2019-01-03,50956100.0,power
CZ,2019-01-03,19252400.0,power
IE,2019-01-03,24803800.0,power
HU,2019-01-03,29980575.0,power
DE,2019-01-03,205524525.0,power
DK,2019-01-03,13099600.0,power
PT,2019-01-03,52431100.0,power
ES,2019-01-03,211139000.0,power
LT,2019-01-03,947400.0,power
PL,2019-01-03,28203500.0,power
RO,2019-01-03,43310000.0,power
SK,2019-01-03,4958100.0,power
LU,2019-01-03,975825.0,power
IT,2019-01-03,308225000.0,power
SE,2019-01-03,0.0,power
SI,2019-01-03,1144900.0,power
NL,2019-01-03,140902450.0,power
LV,2019-01-03,9728000.0,power
BG,2019-01-03,7886000.0,power
DK,2019-01-04,8459700.0,power
PT,2019-01-04,55851400.0,power
RO,2019-01-04,42655700.0,power
SK,2019-01-04,4671500.0,power
ES,2019-01-04,250097000.0,power
PL,2019-01-04,28901400.0,power
AT,2019-01-04,53350100.0,power
SI,2019-01-04,1159000.0,power
UK,2019-01-04,543091600.0,power
BE,2019-01-04,108927400.0,power
HU,2019-01-04,32823700.0,power
HR,2019-01-04,7253500.0,power
EE,2019-01-04,42600.0,power
SE,2019-01-04,0.0,power
LT,2019-01-04,944400.0,power
CZ,2019-01-04,12107300.0,power
GR,2019-01-04,82156000.0,power
LV,2019-01-04,8867000.0,power
FI,2019-01-04,23808200.0,power
BG,2019-01-04,8168000.0,power
IE,2019-01-04,24124900.0,power
LU,2019-01-04,992225.0,power
FR,2019-01-04,176365000.0,power
NL,2019-01-04,132537400.0,power
DE,2019-01-04,169589000.0,power
IT,2019-01-04,363084000.0,power
ES,2019-01-05,180465000.0,power
NL,2019-01-05,114518650.0,power
DE,2019-01-05,135575550.0,power
PT,2019-01-05,40751500.0,power
FI,2019-01-05,23124400.0,power
PL,2019-01-05,27113500.0,power
EE,2019-01-05,24000.0,power
GR,2019-01-05,78020000.0,power
RO,2019-01-05,43053000.0,power
FR,2019-01-05,182532000.0,power
LU,2019-01-05,936775.0,power
HR,2019-01-05,9535400.0,power
SE,2019-01-05,0.0,power
CZ,2019-01-05,6581000.0,power
LV,2019-01-05,10183000.0,power
IT,2019-01-05,300569000.0,power
BG,2019-01-05,8182000.0,power
UK,2019-01-05,489903000.0,power
SI,2019-01-05,1202900.0,power
HU,2019-01-05,30282750.0,power
SK,2019-01-05,4418200.0,power
LT,2019-01-05,949800.0,power
AT,2019-01-05,26038300.0,power
BE,2019-01-05,71387100.0,power
IE,2019-01-05,24664800.0,power
DK,2019-01-05,9650000.0,power
FR,2019-01-06,174383000.0,power
NL,2019-01-06,120481425.0,power
UK,2019-01-06,477093700.0,power
CZ,2019-01-06,15588000.0,power
FI,2019-01-06,22894900.0,power
SI,2019-01-06,1263100.0,power
HU,2019-01-06,29407900.0,power
LV,2019-01-06,11258000.0,power
LU,2019-01-06,937375.0,power
IE,2019-01-06,22472700.0,power
DE,2019-01-06,161480275.0,power
AT,2019-01-06,27552700.0,power
PT,2019-01-06,14532000.0,power
SK,2019-01-06,4415400.0,power
LT,2019-01-06,937400.0,power
IT,2019-01-06,251272000.0,power
SE,2019-01-06,0.0,power
GR,2019-01-06,61198000.0,power
RO,2019-01-06,38597000.0,power
DK,2019-01-06,12248300.0,power
EE,2019-01-06,24000.0,power
ES,2019-01-06,134574000.0,power
HR,2019-01-06,10702800.0,power
BE,2019-01-06,61849100.0,power
PL,2019-01-06,25706700.0,power
BG,2019-01-06,8232000.0,power
SK,2019-01-07,4781200.0,power
LU,2019-01-07,1009000.0,power
DE,2019-01-07,193659750.0,power
RO,2019-01-07,36927000.0,power
ES,2019-01-07,185983000.0,power
BG,2019-01-07,8248000.0,power
BE,2019-01-07,80751700.0,power
FR,2019-01-07,177080000.0,power
PL,2019-01-07,28724200.0,power
PT,2019-01-07,45833800.0,power
FI,2019-01-07,22607400.0,power
LT,2019-01-07,935700.0,power
IE,2019-01-07,20747800.0,power
LV,2019-01-07,9475000.0,power
HR,2019-01-07,12001500.0,power
HU,2019-01-07,34595725.0,power
EE,2019-01-07,24100.0,power
GR,2019-01-07,75170000.0,power
SI,2019-01-07,1296900.0,power
CZ,2019-01-07,18515500.0,power
DK,2019-01-07,11446900.0,power
SE,2019-01-07,0.0,power
IT,2019-01-07,436610000.0,power
AT,2019-01-07,57756200.0,power
NL,2019-01-07,128569175.0,power
UK,2019-01-07,323920400.0,power
BE,2019-01-08,76478900.0,power
LT,2019-01-08,947800.0,power
LV,2019-01-08,9608000.0,power
IT,2019-01-08,459401000.0,power
SK,2019-01-08,5091200.0,power
FR,2019-01-08,160674000.0,power
DE,2019-01-08,130051800.0,power
ES,2019-01-08,196242000.0,power
NL,2019-01-08,103238275.0,power
PL,2019-01-08,27872300.0,power
PT,2019-01-08,43053500.0,power
DK,2019-01-08,9028400.0,power
GR,2019-01-08,81870000.0,power
AT,2019-01-08,51722100.0,power
BG,2019-01-08,8380000.0,power
IE,2019-01-08,31366800.0,power
CZ,2019-01-08,16425800.0,power
EE,2019-01-08,42600.0,power
SI,2019-01-08,1337800.0,power
UK,2019-01-08,348732900.0,power
HR,2019-01-08,12082900.0,power
SE,2019-01-08,0.0,power
LU,2019-01-08,996300.0,power
RO,2019-01-08,47125000.0,power
HU,2019-01-08,36041400.0,power
FI,2019-01-08,22233900.0,power
SE,2019-01-09,0.0,power
FR,2019-01-09,177295000.0,power
FI,2019-01-09,23283700.0,power
LU,2019-01-09,996825.0,power
PT,2019-01-09,41748600.0,power
NL,2019-01-09,117727725.0,power
LT,2019-01-09,946600.0,power
EE,2019-01-09,42600.0,power
HU,2019-01-09,32798425.000000004,power
SK,2019-01-09,4690900.0,power
PL,2019-01-09,28460500.0,power
SI,2019-01-09,1385900.0,power
UK,2019-01-09,483527500.0,power
DE,2019-01-09,163507575.0,power
BG,2019-01-09,8644000.0,power
IE,2019-01-09,32956800.000000004,power
AT,2019-01-09,54825900.0,power
DK,2019-01-09,12431200.0,power
RO,2019-01-09,47616000.0,power
GR,2019-01-09,75782000.0,power
BE,2019-01-09,85557400.0,power
IT,2019-01-09,441997000.0,power
ES,2019-01-09,159498000.0,power
CZ,2019-01-09,20638400.0,power
LV,2019-01-09,15469000.0,power
HR,2019-01-09,12046500.0,power
BE,2019-01-10,102732800.0,power
PL,2019-01-10,29087400.0,power
AT,2019-01-10,56677200.0,power
SK,2019-01-10,4492200.0,power
SE,2019-01-10,0.0,power
IE,2019-01-10,35127000.0,power
RO,2019-01-10,45042800.0,power
PT,2019-01-10,49056500.0,power
GR,2019-01-10,70198000.0,power
CZ,2019-01-10,24330100.0,power
UK,2019-01-10,527810700.0,power
NL,2019-01-10,142768100.0,power
LU,2019-01-10,1022275.0,power
LV,2019-01-10,16763000.0,power
DK,2019-01-10,14973600.0,power
HU,2019-01-10,33771625.0,power
SI,2019-01-10,1414300.0,power
DE,2019-01-10,253811325.0,power
BG,2019-01-10,8306000.0,power
FR,2019-01-10,199612000.0,power
EE,2019-01-10,42700.0,power
IT,2019-01-10,452381000.0,power
FI,2019-01-10,23278500.0,power
ES,2019-01-10,179758000.0,power
HR,2019-01-10,11387000.0,power
LT,2019-01-10,939100.0,power
EE,2019-01-11,42500.0,power
LT,2019-01-11,944600.0,power
PT,2019-01-11,50246200.0,power
ES,2019-01-11,210733000.0,power
LU,2019-01-11,1049025.0,power
BG,2019-01-11,8005000.0,power
SI,2019-01-11,1429300.0,power
PL,2019-01-11,28972900.0,power
DK,2019-01-11,13054400.0,power
RO,2019-01-11,44718200.0,power
IE,2019-01-11,30723100.0,power
UK,2019-01-11,493451800.0,power
HU,2019-01-11,34790400.0,power
SE,2019-01-11,0.0,power
HR,2019-01-11,11895900.0,power
SK,2019-01-11,4625700.0,power
BE,2019-01-11,96606700.0,power
NL,2019-01-11,127551000.0,power
AT,2019-01-11,62123100.0,power
CZ,2019-01-11,19433100.0,power
LV,2019-01-11,9405000.0,power
DE,2019-01-11,218412225.0,power
GR,2019-01-11,82639000.0,power
FI,2019-01-11,22412200.0,power
IT,2019-01-11,484421000.0,power
FR,2019-01-11,197490000.0,power
PT,2019-01-12,34910500.0,power
RO,2019-01-12,46424000.0,power
LT,2019-01-12,953900.0,power
HR,2019-01-12,12122800.0,power
ES,2019-01-12,160757000.0,power
EE,2019-01-12,24000.0,power
SI,2019-01-12,1449399.9999999998,power
GR,2019-01-12,79044000.0,power
BE,2019-01-12,60953500.0,power
AT,2019-01-12,39812100.0,power
SE,2019-01-12,0.0,power
IE,2019-01-12,16564599.999999998,power
LV,2019-01-12,7540000.0,power
IT,2019-01-12,308972000.0,power
SK,2019-01-12,4721700.0,power
DK,2019-01-12,13145000.0,power
PL,2019-01-12,27642700.0,power
DE,2019-01-12,129317225.0,power
FR,2019-01-12,161730000.0,power
NL,2019-01-12,98990400.0,power
CZ,2019-01-12,6720300.0,power
HU,2019-01-12,30385375.0,power
BG,2019-01-12,7878000.0,power
FI,2019-01-12,22898600.0,power
