country,date,demand,type
AT,2025-01-08,1642000.0,power
AT,2025-01-09,49599000.0,power
AT,2025-01-10,29354000.0,power
AT,2025-01-11,23716400.0,power
AT,2025-01-12,38344300.0,power
AT,2025-01-13,47326600.0,power
AT,2025-01-14,58175000.0,power
AT,2025-01-15,50918900.0,power
BE,2025-01-08,1337900.0,power
BE,2025-01-09,30489300.0,power
BE,2025-01-10,50958800.0,power
BE,2025-01-11,32252700.0,power
BE,2025-01-12,34053600.0,power
BE,2025-01-13,79754700.0,power
BE,2025-01-14,90134600.0,power
BE,2025-01-15,69949900.0,power
BG,2025-01-08,303500.0,power
BG,2025-01-09,7277800.0,power
BG,2025-01-10,7241000.0,power
BG,2025-01-11,7281300.0,power
BG,2025-01-12,7308900.000000001,power
BG,2025-01-13,7472000.0,power
BG,2025-01-14,7479600.0,power
BG,2025-01-15,2688000.0,power
HR,2025-01-08,473500.0,power
HR,2025-01-09,11543200.0,power
HR,2025-01-10,10906600.0,power
HR,2025-01-11,11357000.0,power
HR,2025-01-12,11071000.0,power
HR,2025-01-13,11515900.0,power
HR,2025-01-14,11468900.0,power
HR,2025-01-15,9292116.666666666,power
CZ,2025-01-08,284200.0,power
CZ,2025-01-09,18915600.0,power
CZ,2025-01-10,18972000.0,power
CZ,2025-01-11,7711700.0,power
CZ,2025-01-12,7855100.0,power
CZ,2025-01-13,20493100.000000004,power
CZ,2025-01-14,9159700.0,power
CZ,2025-01-15,23011100.0,power
DK,2025-01-08,348600.0,power
DK,2025-01-09,11400200.0,power
DK,2025-01-10,10093600.0,power
DK,2025-01-11,7450400.0,power
DK,2025-01-12,8734100.0,power
DK,2025-01-13,6319200.0,power
DK,2025-01-14,4013500.0,power
DK,2025-01-15,7276800.0,power
EE,2025-01-08,4100.0,power
EE,2025-01-09,135800.0,power
EE,2025-01-10,139200.0,power
EE,2025-01-11,109300.0,power
EE,2025-01-12,122600.0,power
EE,2025-01-13,138900.0,power
EE,2025-01-14,98000.0,power
EE,2025-01-15,116900.0,power
FI,2025-01-08,64450.0,power
FI,2025-01-09,10401750.0,power
FI,2025-01-10,9092275.0,power
FI,2025-01-11,1875400.0,power
FI,2025-01-12,2626850.0,power
FI,2025-01-13,1279850.0,power
FI,2025-01-14,1134400.0,power
FI,2025-01-15,1496000.0,power
FR,2025-01-08,1998700.0,power
FR,2025-01-09,60262600.0,power
FR,2025-01-10,121906000.0,power
FR,2025-01-11,70766600.0,power
FR,2025-01-12,74726800.0,power
FR,2025-01-13,130628500.0,power
FR,2025-01-14,154906700.0,power
FR,2025-01-15,130102900.0,power
DE,2025-01-08,6192825.0,power
DE,2025-01-09,269590850.0,power
DE,2025-01-10,239472400.0,power
DE,2025-01-11,259682050.00000003,power
DE,2025-01-12,227499675.0,power
DE,2025-01-13,338306775.0,power
DE,2025-01-14,365540900.0,power
DE,2025-01-15,338597300.0,power
GR,2025-01-08,1837000.0,power
GR,2025-01-09,65428000.0,power
GR,2025-01-10,59782000.0,power
GR,2025-01-11,55306000.0,power
GR,2025-01-12,57868000.0,power
GR,2025-01-13,88196000.0,power
GR,2025-01-14,87041000.0,power
GR,2025-01-15,62065000.0,power
HU,2025-01-08,942775.0,power
HU,2025-01-09,29854575.0,power
HU,2025-01-10,29357050.0,power
HU,2025-01-11,30291775.0,power
