date,final_demand,power_generation,lng_trucks,total_demand
01/01/2019,779.21,192.85,12.69,984.75
02/01/2019,986.96,193.04,48.28,1228.28
03/01/2019,1027.32,305.17,48.12,1380.61
04/01/2019,1054.04,363.47,47.08,1464.59
05/01/2019,958.45,218.03,17.43,1193.91
06/01/2019,936.89,142.13,18.27,1097.29
07/01/2019,1067.09,245.16,37.06,1349.31
08/01/2019,1117.28,240.41,49.43,1407.12
09/01/2019,1095.76,179.9,51.57,1327.23
10/01/2019,1144.67,223.56,51.63,1419.86
11/01/2019,1167.85,278.95,43.28,1490.08
12/01/2019,1024.57,175.45,23.32,1223.34
13/01/2019,996.35,160.21,18.99,1175.55
14/01/2019,1070.84,315.93,53.95,1440.72
15/01/2019,1066.43,415.45,51.24,1533.12
16/01/2019,1091.5,398.06,50.37,1539.93
17/01/2019,1095.94,341.11,53.29,1490.34
18/01/2019,1107.46,373.13,43.09,1523.68
19/01/2019,997.33,188.08,17.23,1202.64
20/01/2019,975.61,125.68,17.87,1119.16
21/01/2019,1098.45,301.09,53.01,1452.55
22/01/2019,1135.78,237.39,48.43,1421.6
23/01/2019,1087.5,97.19,50.1,1234.79
24/01/2019,1054.78,210.03,50.68,1315.49
25/01/2019,997.91,205.38,43.34,1246.63
26/01/2019,888.52,118.69,15.85,1023.06
27/01/2019,911.05,51.47,15.97,978.49
28/01/2019,1037.94,115.31,52.44,1205.69
29/01/2019,1076.23,196.02,51.59,1323.84
30/01/2019,1060.65,182.22,45.38,1288.25
31/01/2019,1002.08,87.51,51.99,1141.58
01/02/2019,1006.35,82.64,43.93,1132.92
02/02/2019,970.08,81.16,13.32,1064.56
03/02/2019,983.5,109.84,13.96,1107.3
04/02/2019,1092.51,293.79,60.32,1446.62
05/02/2019,1029.62,303.99,51.48,1385.09
06/02/2019,1000.48,271.49,52.88,1324.85
07/02/2019,1000.75,265.95,53.67,1320.37
08/02/2019,976.96,205.99,46.66,1229.61
09/02/2019,861.15,116.26,14.94,992.35
10/02/2019,865.22,68.88,15.28,949.38
11/02/2019,972.48,272.3,51.84,1296.62
12/02/2019,994.26,312.07,52.12,1358.45
13/02/2019,984.01,298.3,52.03,1334.34
14/02/2019,974.5,243.66,50.77,1268.93
15/02/2019,960.85,239.2,39.04,1239.09
16/02/2019,845.02,71.84,13.98,930.84
17/02/2019,845.79,79.29,16.24,941.32
18/02/2019,966.56,245.22,53.24,1265.02
19/02/2019,960.46,294.44,50.62,1305.52
20/02/2019,962.03,281.86,51.21,1295.1
21/02/2019,940.33,224.64,52.43,1217.4
22/02/2019,897.08,171.74,40.11,1108.93
23/02/2019,791.45,118.3,15.69,925.44
24/02/2019,786.62,128.3,14.43,929.35
25/02/2019,890.49,194.21,53.2,1137.9
26/02/2019,871.42,157.5,49.52,1078.44
27/02/2019,859.58,152.23,46.98,1058.79
28/02/2019,861.98,158.98,39.54,1060.5
01/03/2019,841.03,149.28,44.16,1034.47
02/03/2019,732.78,116.81,12.06,861.65
03/03/2019,719.83,86.8,11.78,818.41
04/03/2019,831.46,140.82,52.12,1024.4
05/03/2019,839.93,139.93,48.79,1028.65
06/03/2019,886.3,74.67,45.12,1006.09
07/03/2019,900.21,210.19,41.58,1151.98
08/03/2019,872.6,226.23,39.16,1137.99
09/03/2019,752.48,137.22,12.03,901.73
10/03/2019,729.31,92.29,12.37,833.97
11/03/2019,836.22,197.5,53.45,1087.17
12/03/2019,841.67,143.05,45.47,1030.19
13/03/2019,887.32,103.07,46.84,1037.23
14/03/2019,884.73,195.94,46.1,1126.77
15/03/2019,833.03,243.18,38.48,1114.69
16/03/2019,710.87,131.96,11.47,854.3
17/03/2019,721.13,80.75,13.57,815.45
18/03/2019,847.27,160.84,47.55,1055.66
19/03/2019,858.98,114.87,32.91,1006.76
20/03/2019,902.31,186.89,51.56,1140.76
21/03/2019,903.15,219.7,45.73,1168.58
22/03/2019,851.04,221.34,41.71,1114.09
23/03/2019,718.6,181.89,9.2,909.69
24/03/2019,694.75,137.5,12.08,844.33
25/03/2019,801.59,118.64,53.36,973.59
26/03/2019,827.18,77.58,48.65,953.41
27/03/2019,835.84,136.71,46.25,1018.8
28/03/2019,836.46,199.7,43.96,1080.12
29/03/2019,814.37,226.89,41.09,1082.35
30/03/2019,692.81,213.42,12.3,918.53
31/03/2019,732.24,236.33,10.13,978.7
