date,final_demand,power_generation,lng_trucks,total_demand
2019-03-30,692.81,213.42,12.3,918.53
2019-03-31,732.24,236.33,10.13,978.7
2019-04-01,815.01,357.5,53.39,1225.9
2019-04-02,806.07,299.47,44.23,1149.77
2019-04-03,861.59,186.03,46.19,1093.81
2019-04-04,883.85,249.14,46.74,1179.73
2019-04-05,917.85,215.29,38.47,1171.61
2019-04-06,826.72,80.19,10.11,917.02
2019-04-07,806.56,122.22,12.03,940.81
2019-04-08,877.23,249.04,54.88,1181.15
2019-04-09,900.42,189.16,47.61,1137.19
2019-04-10,892.53,231.99,43.08,1167.6
2019-04-11,875.01,269.82,47.08,1191.91
2019-04-12,819.84,259.76,40.89,1120.49
2019-04-13,697.32,209.64,15.47,922.43
2019-04-14,655.48,185.92,12.8,854.2
2019-04-15,738.82,191.05,51.78,981.65
2019-04-16,738.48,267.72,47.39,1053.59
2019-04-17,718.35,174.86,36.27,929.48
2019-04-18,692.67,244.91,20.02,957.6
2019-04-19,656.08,142.7,10.12,808.9
2019-04-20,630.68,118.16,17.84,766.68
2019-04-21,663.86,178.39,12.91,855.16
2019-04-22,701.09,237.02,33.61,971.72
2019-04-23,786.67,178.17,45.59,1010.43
2019-04-24,847.64,87.98,47.76,983.38
2019-04-25,829.48,96.37,47.43,973.28
2019-04-26,806.46,207.38,36.19,1050.03
2019-04-27,691.09,181.62,12.19,884.9
2019-04-28,661.23,165.22,14.5,840.95
2019-04-29,726.03,288.53,50.36,1064.92
2019-04-30,703.29,272.93,33.11,1009.33
2019-05-01,625.9,147.34,15.34,788.58
2019-05-02,694.58,202.97,50.32,947.87
2019-05-03,723.93,231.33,37.29,992.55
2019-05-04,633.74,159.62,11.75,805.11
2019-05-05,639.89,179.19,11.34,830.42
2019-05-06,720.61,359.51,48.87,1128.99
2019-05-07,712.44,303.27,42.05,1057.76
2019-05-08,693.66,132.84,41.57,868.07
2019-05-09,698.92,234.25,42.77,975.94
2019-05-10,669.17,274.57,31.8,975.54
2019-05-11,599.39,220.99,10.01,830.39
2019-05-12,593.28,150.14,9.5,752.92
2019-05-13,676.02,263.86,48.54,988.42
2019-05-14,678.25,352.08,43.55,1073.88
2019-05-15,664.61,354.37,40.05,1059.03
2019-05-16,682.94,285.77,37.17,1005.88
2019-05-17,691.72,205.65,34.8,932.17
2019-05-18,632.51,249.76,13.07,895.34
2019-05-19,632.31,266.3,9.64,908.25
2019-05-20,709.71,383.87,49.94,1143.52
2019-05-21,699.59,391.11,41.54,1132.24
2019-05-22,685.31,438.3,43.78,1167.39
2019-05-23,679.02,401.25,41.39,1121.66
2019-05-24,684.69,294.2,35.63,1014.52
2019-05-25,607.94,206.04,9.91,823.89
2019-05-26,597.36,208.65,12.49,818.5
2019-05-27,669.21,321.95,48.58,1039.74
2019-05-28,686.67,298.9,42.85,1028.42
