Applicable At,Applicable For,Data Item,Value,Generated Time,Quality Indicator
04/02/2025 00:00:00,04/02/2025,"NTS Energy Offtaken, Industrial Offtake Total",40824547,05/02/2025 12:01:00,L
04/02/2025 00:00:00,04/02/2025,"NTS Energy Offtaken, LDZ Offtake Total",2005202340,06/02/2025 16:01:01,A
04/02/2025 00:00:00,04/02/2025,"NTS Energy Offtaken, Powerstations Total",455426891,05/02/2025 14:01:01,A
03/02/2025 00:00:00,03/02/2025,"NTS Energy Offtaken, Industrial Offtake Total",42773253,05/02/2025 16:01:01,A
03/02/2025 00:00:00,03/02/2025,"NTS Energy Offtaken, LDZ Offtake Total",2093298748,05/02/2025 14:01:01,A
03/02/2025 00:00:00,03/02/2025,"NTS Energy Offtaken, Powerstations Total",626789363,05/02/2025 14:01:01,A
02/02/2025 00:00:00,02/02/2025,"NTS Energy Offtaken, Industrial Offtake Total",49376942,03/02/2025 14:01:00,A
02/02/2025 00:00:00,02/02/2025,"NTS Energy Offtaken, LDZ Offtake Total",2060894522,04/02/2025 12:01:00,A
02/02/2025 00:00:00,02/02/2025,"NTS Energy Offtaken, Powerstations Total",551082869,04/02/2025 12:01:00,A
01/02/2025 00:00:00,01/02/2025,"NTS Energy Offtaken, Industrial Offtake Total",45236900,03/02/2025 12:01:00,A
01/02/2025 00:00:00,01/02/2025,"NTS Energy Offtaken, LDZ Offtake Total",2076352542,04/02/2025 12:01:00,A
01/02/2025 00:00:00,01/02/2025,"NTS Energy Offtaken, Powerstations Total",531334710,03/02/2025 12:01:00,A
31/01/2025 00:00:00,31/01/2025,"NTS Energy Offtaken, Industrial Offtake Total",70570173,04/02/2025 16:01:00,A
31/01/2025 00:00:00,31/01/2025,"NTS Energy Offtaken, LDZ Offtake Total",2178664305,04/02/2025 12:01:00,A
31/01/2025 00:00:00,31/01/2025,"NTS Energy Offtaken, Powerstations Total",865284387,05/02/2025 12:01:00,A
30/01/2025 00:00:00,30/01/2025,"NTS Energy Offtaken, Industrial Offtake Total",50121973,31/01/2025 16:01:00,A
30/01/2025 00:00:00,30/01/2025,"NTS Energy Offtaken, LDZ Offtake Total",2279150205,04/02/2025 12:01:00,A
30/01/2025 00:00:00,30/01/2025,"NTS Energy Offtaken, Powerstations Total",675923260,31/01/2025 14:01:01,A
