Applicable At,Applicable For,Data Item,Value,Generated Time,Quality Indicator
31/12/2024 00:00:00,31/12/2024,"NTS Energy Offtaken, Industrial Offtake Total",39466330,02/01/2025 14:01:00,A
31/12/2024 00:00:00,31/12/2024,"NTS Energy Offtaken, LDZ Offtake Total",1666521791,03/01/2025 16:01:01,A
31/12/2024 00:00:00,31/12/2024,"NTS Energy Offtaken, Powerstations Total",189035087,02/01/2025 14:01:00,A
30/12/2024 00:00:00,30/12/2024,"NTS Energy Offtaken, Industrial Offtake Total",43001674,31/12/2024 12:01:00,L
30/12/2024 00:00:00,30/12/2024,"NTS Energy Offtaken, LDZ Offtake Total",1719993444,02/01/2025 14:01:00,A
30/12/2024 00:00:00,30/12/2024,"NTS Energy Offtaken, Powerstations Total",203576194,31/12/2024 16:01:01,A
29/12/2024 00:00:00,29/12/2024,"NTS Energy Offtaken, Industrial Offtake Total",39616655,31/12/2024 14:01:01,A
29/12/2024 00:00:00,29/12/2024,"NTS Energy Offtaken, LDZ Offtake Total",1773689521,30/12/2024 16:01:00,A
29/12/2024 00:00:00,29/12/2024,"NTS Energy Offtaken, Powerstations Total",240449166,31/12/2024 14:01:01,A
28/12/2024 00:00:00,28/12/2024,"NTS Energy Offtaken, Industrial Offtake Total",42887278,31/12/2024 14:01:01,A
28/12/2024 00:00:00,28/12/2024,"NTS Energy Offtaken, LDZ Offtake Total",1867730370,30/12/2024 16:01:00,A
28/12/2024 00:00:00,28/12/2024,"NTS Energy Offtaken, Powerstations Total",555505173,31/12/2024 14:01:01,A
27/12/2024 00:00:00,27/12/2024,"NTS Energy Offtaken, Industrial Offtake Total",42432748,31/12/2024 14:01:01,A
27/12/2024 00:00:00,27/12/2024,"NTS Energy Offtaken, LDZ Offtake Total",1850374546,30/12/2024 16:01:00,A
27/12/2024 00:00:00,27/12/2024,"NTS Energy Offtaken, Powerstations Total",703660705,31/12/2024 14:01:01,A
26/12/2024 00:00:00,26/12/2024,"NTS Energy Offtaken, Industrial Offtake Total",41900186,28/12/2024 10:01:01,A
26/12/2024 00:00:00,26/12/2024,"NTS Energy Offtaken, LDZ Offtake Total",1592714342,30/12/2024 16:01:00,A
26/12/2024 00:00:00,26/12/2024,"NTS Energy Offtaken, Powerstations Total",501305292,28/12/2024 12:01:00,A
25/12/2024 00:00:00,25/12/2024,"NTS Energy Offtaken, Industrial Offtake Total",43163193,26/12/2024 14:01:00,A
25/12/2024 00:00:00,25/12/2024,"NTS Energy Offtaken, LDZ Offtake Total",1407707868,28/12/2024 10:01:01,A
25/12/2024 00:00:00,25/12/2024,"NTS Energy Offtaken, Powerstations Total",242193519,28/12/2024 10:01:01,A
24/12/2024 00:00:00,24/12/2024,"NTS Energy Offtaken, Industrial Offtake Total",40276891,28/12/2024 10:01:01,A
24/12/2024 00:00:00,24/12/2024,"NTS Energy Offtaken, LDZ Offtake Total",1535759905,28/12/2024 10:01:01,A
24/12/2024 00:00:00,24/12/2024,"NTS Energy Offtaken, Powerstations Total",258258213,28/12/2024 10:01:01,A
23/12/2024 00:00:00,23/12/2024,"NTS Energy Offtaken, Industrial Offtake Total",41857499,24/12/2024 14:01:01,A
23/12/2024 00:00:00,23/12/2024,"NTS Energy Offtaken, LDZ Offtake Total",2036028370,28/12/2024 10:01:01,A
23/12/2024 00:00:00,23/12/2024,"NTS Energy Offtaken, Powerstations Total",403240285,28/12/2024 10:01:01,A
22/12/2024 00:00:00,22/12/2024,"NTS Energy Offtaken, Industrial Offtake Total",38745211,23/12/2024 14:01:01,A
22/12/2024 00:00:00,22/12/2024,"NTS Energy Offtaken, LDZ Offtake Total",2075893954,24/12/2024 14:01:01,A
22/12/2024 00:00:00,22/12/2024,"NTS Energy Offtaken, Powerstations Total",156169094,28/12/2024 10:01:01,A
21/12/2024 00:00:00,21/12/2024,"NTS Energy Offtaken, Industrial Offtake Total",35775236,22/12/2024 12:01:01,L
21/12/2024 00:00:00,21/12/2024,"NTS Energy Offtaken, LDZ Offtake Total",1817895957,23/12/2024 14:01:01,A
21/12/2024 00:00:00,21/12/2024,"NTS Energy Offtaken, Powerstations Total",188694639,22/12/2024 12:01:01,A
20/12/2024 00:00:00,20/12/2024,"NTS Energy Offtaken, Industrial Offtake Total",41284833,23/12/2024 12:01:01,A
20/12/2024 00:00:00,20/12/2024,"NTS Energy Offtaken, LDZ Offtake Total",2044374628,23/12/2024 14:01:01,A
20/12/2024 00:00:00,20/12/2024,"NTS Energy Offtaken, Powerstations Total",252209259,23/12/2024 12:01:01,A
19/12/2024 00:00:00,19/12/2024,"NTS Energy Offtaken, Industrial Offtake Total",38881722,20/12/2024 16:01:01,A
19/12/2024 00:00:00,19/12/2024,"NTS Energy Offtaken, LDZ Offtake Total",1990434851,20/12/2024 14:01:00,A
19/12/2024 00:00:00,19/12/2024,"NTS Energy Offtaken, Powerstations Total",223593298,20/12/2024 15:01:00,A
18/12/2024 00:00:00,18/12/2024,"NTS Energy Offtaken, Industrial Offtake Total",49192815,19/12/2024 12:01:00,L
18/12/2024 00:00:00,18/12/2024,"NTS Energy Offtaken, LDZ Offtake Total",1575074538,20/12/2024 14:01:00,A
18/12/2024 00:00:00,18/12/2024,"NTS Energy Offtaken, Powerstations Total",261134286,19/12/2024 15:01:01,A
17/12/2024 00:00:00,17/12/2024,"NTS Energy Offtaken, Industrial Offtake Total",63041854,18/12/2024 12:01:00,L
17/12/2024 00:00:00,17/12/2024,"NTS Energy Offtaken, LDZ Offtake Total",1784724461,19/12/2024 16:01:01,A
17/12/2024 00:00:00,17/12/2024,"NTS Energy Offtaken, Powerstations Total",427750831,19/12/2024 12:01:00,A
