Applicable At,Applicable For,Data Item,Value,Generated Time,Quality Indicator
23/04/2025 01:00:00,23/04/2025,"NTS Energy Offtaken, Industrial Offtake Total",36354133,25/04/2025 12:01:01,A
23/04/2025 01:00:00,23/04/2025,"NTS Energy Offtaken, LDZ Offtake Total",1098266767,25/04/2025 14:01:01,A
23/04/2025 01:00:00,23/04/2025,"NTS Energy Offtaken, Powerstations Total",638084575,24/04/2025 14:01:01,A
22/04/2025 01:00:00,22/04/2025,"NTS Energy Offtaken, Industrial Offtake Total",34714979,23/04/2025 12:01:01,L
22/04/2025 01:00:00,22/04/2025,"NTS Energy Offtaken, LDZ Offtake Total",997206803,24/04/2025 14:01:01,A
22/04/2025 01:00:00,22/04/2025,"NTS Energy Offtaken, Powerstations Total",527237367,23/04/2025 12:01:01,A
21/04/2025 01:00:00,21/04/2025,"NTS Energy Offtaken, Industrial Offtake Total",35902248,23/04/2025 11:30:00,
21/04/2025 01:00:00,21/04/2025,"NTS Energy Offtaken, LDZ Offtake Total",1088827491,25/04/2025 14:01:01,A
21/04/2025 01:00:00,21/04/2025,"NTS Energy Offtaken, Powerstations Total",502125393,23/04/2025 15:01:01,A
20/04/2025 01:00:00,20/04/2025,"NTS Energy Offtaken, Industrial Offtake Total",36303522,21/04/2025 14:01:00,A
20/04/2025 01:00:00,20/04/2025,"NTS Energy Offtaken, LDZ Offtake Total",997258288,24/04/2025 14:01:01,A
20/04/2025 01:00:00,20/04/2025,"NTS Energy Offtaken, Powerstations Total",314917006,21/04/2025 14:01:00,A
19/04/2025 01:00:00,19/04/2025,"NTS Energy Offtaken, Industrial Offtake Total",33859606,20/04/2025 12:01:01,L
19/04/2025 01:00:00,19/04/2025,"NTS Energy Offtaken, LDZ Offtake Total",1024721050,22/04/2025 14:01:01,A
19/04/2025 01:00:00,19/04/2025,"NTS Energy Offtaken, Powerstations Total",196180876,23/04/2025 16:01:01,A
18/04/2025 01:00:00,18/04/2025,"NTS Energy Offtaken, Industrial Offtake Total",30553781,21/04/2025 12:01:00,A
18/04/2025 01:00:00,18/04/2025,"NTS Energy Offtaken, LDZ Offtake Total",1116298506,23/04/2025 14:01:00,A
18/04/2025 01:00:00,18/04/2025,"NTS Energy Offtaken, Powerstations Total",159947598,23/04/2025 16:01:01,A
17/04/2025 01:00:00,17/04/2025,"NTS Energy Offtaken, Industrial Offtake Total",28566827,20/04/2025 12:01:01,A
17/04/2025 01:00:00,17/04/2025,"NTS Energy Offtaken, LDZ Offtake Total",1145112378,22/04/2025 14:01:01,A
17/04/2025 01:00:00,17/04/2025,"NTS Energy Offtaken, Powerstations Total",431531043,18/04/2025 12:01:01,A
16/04/2025 01:00:00,16/04/2025,"NTS Energy Offtaken, Industrial Offtake Total",27226659,17/04/2025 18:01:00,A
16/04/2025 01:00:00,16/04/2025,"NTS Energy Offtaken, LDZ Offtake Total",1249599486,18/04/2025 14:01:01,A
16/04/2025 01:00:00,16/04/2025,"NTS Energy Offtaken, Powerstations Total",231130625,17/04/2025 18:01:00,A
15/04/2025 01:00:00,15/04/2025,"NTS Energy Offtaken, Industrial Offtake Total",26154150,16/04/2025 14:01:00,A
15/04/2025 01:00:00,15/04/2025,"NTS Energy Offtaken, LDZ Offtake Total",1131673661,17/04/2025 17:35:01,A
15/04/2025 01:00:00,15/04/2025,"NTS Energy Offtaken, Powerstations Total",439502073,16/04/2025 12:01:01,A
14/04/2025 01:00:00,14/04/2025,"NTS Energy Offtaken, Industrial Offtake Total",23321731,15/04/2025 12:01:00,L
14/04/2025 01:00:00,14/04/2025,"NTS Energy Offtaken, LDZ Offtake Total",1078353634,16/04/2025 14:01:00,A
14/04/2025 01:00:00,14/04/2025,"NTS Energy Offtaken, Powerstations Total",291422262,15/04/2025 12:01:00,A
13/04/2025 01:00:00,13/04/2025,"NTS Energy Offtaken, Industrial Offtake Total",22582676,14/04/2025 12:01:00,L
13/04/2025 01:00:00,13/04/2025,"NTS Energy Offtaken, LDZ Offtake Total",863347298,16/04/2025 14:01:00,A
13/04/2025 01:00:00,13/04/2025,"NTS Energy Offtaken, Powerstations Total",176490783,15/04/2025 12:01:00,A
12/04/2025 01:00:00,12/04/2025,"NTS Energy Offtaken, Industrial Offtake Total",23436637,14/04/2025 14:01:00,A
12/04/2025 01:00:00,12/04/2025,"NTS Energy Offtaken, LDZ Offtake Total",746712548,15/04/2025 16:01:01,A
12/04/2025 01:00:00,12/04/2025,"NTS Energy Offtaken, Powerstations Total",185106610,13/04/2025 12:01:01,A
11/04/2025 01:00:00,11/04/2025,"NTS Energy Offtaken, Industrial Offtake Total",24904604,14/04/2025 14:01:00,A
11/04/2025 01:00:00,11/04/2025,"NTS Energy Offtaken, LDZ Offtake Total",908942852,14/04/2025 14:01:00,A
11/04/2025 01:00:00,11/04/2025,"NTS Energy Offtaken, Powerstations Total",386364499,14/04/2025 12:01:00,A
10/04/2025 01:00:00,10/04/2025,"NTS Energy Offtaken, Industrial Offtake Total",26928642,12/04/2025 12:01:00,A
10/04/2025 01:00:00,10/04/2025,"NTS Energy Offtaken, LDZ Offtake Total",1079539390,14/04/2025 14:01:00,A
10/04/2025 01:00:00,10/04/2025,"NTS Energy Offtaken, Powerstations Total",416953690,14/04/2025 12:01:00,A
09/04/2025 01:00:00,09/04/2025,"NTS Energy Offtaken, Industrial Offtake Total",28270486,10/04/2025 12:01:00,L
09/04/2025 01:00:00,09/04/2025,"NTS Energy Offtaken, LDZ Offtake Total",1211272732,14/04/2025 16:01:01,A
09/04/2025 01:00:00,09/04/2025,"NTS Energy Offtaken, Powerstations Total",501037416,10/04/2025 12:01:00,A
08/04/2025 01:00:00,08/04/2025,"NTS Energy Offtaken, Industrial Offtake Total",27469407,09/04/2025 14:01:01,A
08/04/2025 01:00:00,08/04/2025,"NTS Energy Offtaken, LDZ Offtake Total",1148328789,10/04/2025 12:01:00,A
08/04/2025 01:00:00,08/04/2025,"NTS Energy Offtaken, Powerstations Total",636419516,10/04/2025 12:01:00,A
07/04/2025 01:00:00,07/04/2025,"NTS Energy Offtaken, Industrial Offtake Total",26523709,08/04/2025 14:01:00,A
07/04/2025 01:00:00,07/04/2025,"NTS Energy Offtaken, LDZ Offtake Total",1152779271,09/04/2025 12:01:01,A
07/04/2025 01:00:00,07/04/2025,"NTS Energy Offtaken, Powerstations Total",603785439,08/04/2025 12:01:01,A
06/04/2025 01:00:00,06/04/2025,"NTS Energy Offtaken, Industrial Offtake Total",23188220,07/04/2025 16:01:00,A
06/04/2025 01:00:00,06/04/2025,"NTS Energy Offtaken, LDZ Offtake Total",1062866235,07/04/2025 16:01:00,A
06/04/2025 01:00:00,06/04/2025,"NTS Energy Offtaken, Powerstations Total",283512876,09/04/2025 14:01:01,A
05/04/2025 01:00:00,05/04/2025,"NTS Energy Offtaken, Industrial Offtake Total",21514120,07/04/2025 12:01:01,A
05/04/2025 01:00:00,05/04/2025,"NTS Energy Offtaken, LDZ Offtake Total",1031671006,07/04/2025 14:01:01,A
05/04/2025 01:00:00,05/04/2025,"NTS Energy Offtaken, Powerstations Total",153615713,07/04/2025 12:01:01,A
04/04/2025 01:00:00,04/04/2025,"NTS Energy Offtaken, Industrial Offtake Total",23391982,07/04/2025 12:01:01,A
04/04/2025 01:00:00,04/04/2025,"NTS Energy Offtaken, LDZ Offtake Total",987380473,07/04/2025 14:01:01,A
04/04/2025 01:00:00,04/04/2025,"NTS Energy Offtaken, Powerstations Total",208865990,07/04/2025 12:01:01,A
03/04/2025 01:00:00,03/04/2025,"NTS Energy Offtaken, Industrial Offtake Total",26009166,07/04/2025 10:01:01,A
03/04/2025 01:00:00,03/04/2025,"NTS Energy Offtaken, LDZ Offtake Total",1095762073,07/04/2025 14:01:01,A
03/04/2025 01:00:00,03/04/2025,"NTS Energy Offtaken, Powerstations Total",219626814,07/04/2025 12:01:01,A
02/04/2025 01:00:00,02/04/2025,"NTS Energy Offtaken, Industrial Offtake Total",24271774,07/04/2025 10:01:01,A
02/04/2025 01:00:00,02/04/2025,"NTS Energy Offtaken, LDZ Offtake Total",1159126155,07/04/2025 14:01:01,A
02/04/2025 01:00:00,02/04/2025,"NTS Energy Offtaken, Powerstations Total",164850784,03/04/2025 14:01:00,A
01/04/2025 01:00:00,01/04/2025,"NTS Energy Offtaken, Industrial Offtake Total",24684080,02/04/2025 12:01:01,L
01/04/2025 01:00:00,01/04/2025,"NTS Energy Offtaken, LDZ Offtake Total",1146700815,07/04/2025 10:01:01,A
01/04/2025 01:00:00,01/04/2025,"NTS Energy Offtaken, Powerstations Total",230867202,02/04/2025 14:01:00,A
31/03/2025 01:00:00,31/03/2025,"NTS Energy Offtaken, Industrial Offtake Total",27578326,01/04/2025 14:01:00,A
31/03/2025 01:00:00,31/03/2025,"NTS Energy Offtaken, LDZ Offtake Total",1160571187,04/04/2025 14:01:00,A
31/03/2025 01:00:00,31/03/2025,"NTS Energy Offtaken, Powerstations Total",563530330,01/04/2025 16:01:00,A
30/03/2025 00:00:00,30/03/2025,"NTS Energy Offtaken, Industrial Offtake Total",25582399,01/04/2025 12:01:01,A
