Applicable At,Applicable For,Data Item,Value,Generated Time,Quality Indicator
31/12/2023 00:00:00,31/12/2023,"NTS Energy Offtaken, Industrial Offtake Total",49424232,01/01/2024 12:01:01,L
31/12/2023 00:00:00,31/12/2023,"NTS Energy Offtaken, LDZ Offtake Total",1731783683,04/01/2024 14:01:00,A
31/12/2023 00:00:00,31/12/2023,"NTS Energy Offtaken, Powerstations Total",200633717,02/01/2024 15:01:01,A
30/12/2023 00:00:00,30/12/2023,"NTS Energy Offtaken, Industrial Offtake Total",39254200,02/01/2024 15:01:01,A
30/12/2023 00:00:00,30/12/2023,"NTS Energy Offtaken, LDZ Offtake Total",1735357170,04/01/2024 14:01:00,A
30/12/2023 00:00:00,30/12/2023,"NTS Energy Offtaken, Powerstations Total",130814745,02/01/2024 12:01:00,A
29/12/2023 00:00:00,29/12/2023,"NTS Energy Offtaken, Industrial Offtake Total",39170121,30/12/2023 14:01:00,A
29/12/2023 00:00:00,29/12/2023,"NTS Energy Offtaken, LDZ Offtake Total",1772807260,03/01/2024 12:01:00,A
29/12/2023 00:00:00,29/12/2023,"NTS Energy Offtaken, Powerstations Total",151697644,30/12/2023 12:01:00,A
28/12/2023 00:00:00,28/12/2023,"NTS Energy Offtaken, Industrial Offtake Total",35032271,29/12/2023 14:01:01,A
28/12/2023 00:00:00,28/12/2023,"NTS Energy Offtaken, LDZ Offtake Total",1663705859,02/01/2024 15:01:01,A
28/12/2023 00:00:00,28/12/2023,"NTS Energy Offtaken, Powerstations Total",115501663,29/12/2023 12:01:01,A
27/12/2023 00:00:00,27/12/2023,"NTS Energy Offtaken, Industrial Offtake Total",40023121,28/12/2023 14:01:00,A
27/12/2023 00:00:00,27/12/2023,"NTS Energy Offtaken, LDZ Offtake Total",1681201811,29/12/2023 14:01:01,A
27/12/2023 00:00:00,27/12/2023,"NTS Energy Offtaken, Powerstations Total",124688473,28/12/2023 12:01:00,A
26/12/2023 00:00:00,26/12/2023,"NTS Energy Offtaken, Industrial Offtake Total",41967986,28/12/2023 16:01:01,A
26/12/2023 00:00:00,26/12/2023,"NTS Energy Offtaken, LDZ Offtake Total",1624067911,29/12/2023 12:01:01,A
26/12/2023 00:00:00,26/12/2023,"NTS Energy Offtaken, Powerstations Total",284586788,28/12/2023 16:01:01,A
25/12/2023 00:00:00,25/12/2023,"NTS Energy Offtaken, Industrial Offtake Total",36638996,26/12/2023 12:01:01,L
25/12/2023 00:00:00,25/12/2023,"NTS Energy Offtaken, LDZ Offtake Total",1321497884,28/12/2023 16:01:01,A
25/12/2023 00:00:00,25/12/2023,"NTS Energy Offtaken, Powerstations Total",131154155,28/12/2023 16:01:01,A
24/12/2023 00:00:00,24/12/2023,"NTS Energy Offtaken, Industrial Offtake Total",35399861,25/12/2023 12:01:01,L
24/12/2023 00:00:00,24/12/2023,"NTS Energy Offtaken, LDZ Offtake Total",1305862953,28/12/2023 16:01:01,A
24/12/2023 00:00:00,24/12/2023,"NTS Energy Offtaken, Powerstations Total",117605554,28/12/2023 16:01:01,A
23/12/2023 00:00:00,23/12/2023,"NTS Energy Offtaken, Industrial Offtake Total",35413988,25/12/2023 12:01:01,A
23/12/2023 00:00:00,23/12/2023,"NTS Energy Offtaken, LDZ Offtake Total",1477405710,28/12/2023 16:01:01,A
23/12/2023 00:00:00,23/12/2023,"NTS Energy Offtaken, Powerstations Total",131712800,28/12/2023 16:01:01,A
22/12/2023 00:00:00,22/12/2023,"NTS Energy Offtaken, Industrial Offtake Total",34881227,24/12/2023 12:01:00,A
22/12/2023 00:00:00,22/12/2023,"NTS Energy Offtaken, LDZ Offtake Total",1636845162,27/12/2023 16:01:00,A
22/12/2023 00:00:00,22/12/2023,"NTS Energy Offtaken, Powerstations Total",178373976,27/12/2023 12:01:00,A
21/12/2023 00:00:00,21/12/2023,"NTS Energy Offtaken, Industrial Offtake Total",34740813,22/12/2023 12:01:01,L
21/12/2023 00:00:00,21/12/2023,"NTS Energy Offtaken, LDZ Offtake Total",1688939533,22/12/2023 16:01:00,A
21/12/2023 00:00:00,21/12/2023,"NTS Energy Offtaken, Powerstations Total",148040217,22/12/2023 12:01:01,A
